position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
C,R,Joey Bart,Kyle Harrison,L,9,MIL,ATL,home,3.0,
2B,L,Luis Arraez,Max Meyer,R,1,SF,MIA,away,3.0,
DH,L,B. Eldridge,Max Meyer,R,2,SF,MIA,away,3.0,
3B,R,Matt Chapman,Max Meyer,R,3,SF,MIA,away,3.0,
1B,L,R. Devers,Max Meyer,R,4,SF,MIA,away,3.0,
RF,L,Jung Hoo Lee,Max Meyer,R,5,SF,MIA,away,3.0,
SS,R,Willy Adames,Max Meyer,R,6,SF,MIA,away,3.0,
LF,R,C. Schmitt,Max Meyer,R,7,SF,MIA,away,3.0,
CF,L,Drew Gilbert,Max Meyer,R,8,SF,MIA,away,3.0,
C,R,Eric Haase,Max Meyer,R,9,SF,MIA,away,3.0,
DH,L,Liam Hicks,Trevor McDonald,R,1,SF,MIA,home,3.0,
SS,R,Otto Lopez,Trevor McDonald,R,2,SF,MIA,home,3.0,
1B,L,Kyle Stowers,Trevor McDonald,R,3,SF,MIA,home,3.0,
2B,S,X. Edwards,Trevor McDonald,R,4,SF,MIA,home,3.0,
LF,R,H. Hernandez,Trevor McDonald,R,5,SF,MIA,home,3.0,
RF,L,Owen Caissie,Trevor McDonald,R,6,SF,MIA,home,3.0,
CF,L,Jakob Marsee,Trevor McDonald,R,7,SF,MIA,home,3.0,
C,L,Joe Mack,Trevor McDonald,R,8,SF,MIA,home,3.0,
3B,R,Leo Jimenez,Trevor McDonald,R,9,SF,MIA,home,3.0,
DH,L,James Wood,Ian Seymour,L,1,WSH,TB,away,3.0,
3B,R,Curtis Mead,Ian Seymour,L,2,WSH,TB,away,3.0,
1B,R,A. Chaparro,Ian Seymour,L,3,WSH,TB,away,3.0,
SS,L,CJ Abrams,Ian Seymour,L,4,WSH,TB,away,3.0,
RF,R,Dylan Crews,Ian Seymour,L,5,WSH,TB,away,3.0,
LF,L,Daylen Lile,Ian Seymour,L,6,WSH,TB,away,3.0,
CF,R,Jacob Young,Ian Seymour,L,7,WSH,TB,away,3.0,
2B,S,Nasim Nunez,Ian Seymour,L,8,WSH,TB,away,3.0,
C,S,Keibert Ruiz,Ian Seymour,L,9,WSH,TB,away,3.0,
DH,R,Yandy Diaz,Cade Cavalli,R,1,WSH,TB,home,3.0,
1B,L,J. Aranda,Cade Cavalli,R,2,WSH,TB,home,3.0,
CF,L,C. Mullins,Cade Cavalli,R,3,WSH,TB,home,3.0,
3B,R,J. Caminero,Cade Cavalli,R,4,WSH,TB,home,3.0,
2B,L,R. Palacios,Cade Cavalli,R,5,WSH,TB,home,3.0,
LF,L,C. Simpson,Cade Cavalli,R,6,WSH,TB,home,3.0,
RF,L,Victor Mesa,Cade Cavalli,R,7,WSH,TB,home,3.0,
C,L,H. Feduccia,Cade Cavalli,R,8,WSH,TB,home,3.0,
SS,S,Taylor Walls,Cade Cavalli,R,9,WSH,TB,home,3.0,
2B,L,T. Bazzana,Spencer Arrighetti,R,1,CLE,HOU,away,6.0,
1B,L,K. Manzardo,Spencer Arrighetti,R,2,CLE,HOU,away,6.0,
SS,S,B. Rocchio,Spencer Arrighetti,R,3,CLE,HOU,away,6.0,
DH,R,Rhys Hoskins,Spencer Arrighetti,R,4,CLE,HOU,away,6.0,
CF,L,D. Schneemann,Spencer Arrighetti,R,5,CLE,HOU,away,6.0,
LF,L,Steven Kwan,Spencer Arrighetti,R,6,CLE,HOU,away,6.0,
3B,R,G. Arias,Spencer Arrighetti,R,7,CLE,HOU,away,6.0,
RF,L,K. Watson,Spencer Arrighetti,R,8,CLE,HOU,away,6.0,
C,S,P. Bailey,Spencer Arrighetti,R,9,CLE,HOU,away,6.0,
SS,R,Jeremy Pena,Joey Cantillo,L,1,CLE,HOU,home,6.0,
DH,L,Y. Alvarez,Joey Cantillo,L,2,CLE,HOU,home,6.0,
1B,R,C. Walker,Joey Cantillo,L,3,CLE,HOU,home,6.0,
3B,R,I. Paredes,Joey Cantillo,L,4,CLE,HOU,home,6.0,
2B,R,Jose Altuve,Joey Cantillo,L,5,CLE,HOU,home,6.0,
C,R,Yainer Diaz,Joey Cantillo,L,6,CLE,HOU,home,6.0,
RF,R,Cam Smith,Joey Cantillo,L,7,CLE,HOU,home,6.0,
CF,R,Jake Meyers,Joey Cantillo,L,8,CLE,HOU,home,6.0,
LF,R,B. Matthews,Joey Cantillo,L,9,CLE,HOU,home,6.0,
RF,L,Carson Benge,Cristopher Sanchez,L,1,NYM,PHI,away,6.0,
SS,R,Bo Bichette,Cristopher Sanchez,L,2,NYM,PHI,away,6.0,
DH,L,Juan Soto,Cristopher Sanchez,L,3,NYM,PHI,away,6.0,
1B,R,Mark Vientos,Cristopher Sanchez,L,4,NYM,PHI,away,6.0,
C,R,F. Alvarez,Cristopher Sanchez,L,5,NYM,PHI,away,6.0,
2B,R,M. Semien,Cristopher Sanchez,L,6,NYM,PHI,away,6.0,
CF,L,A.J. Ewing,Cristopher Sanchez,L,7,NYM,PHI,away,6.0,
LF,R,Eric Wagaman,Cristopher Sanchez,L,8,NYM,PHI,away,6.0,
3B,L,Brett Baty,Cristopher Sanchez,L,9,NYM,PHI,away,6.0,
DH,L,K. Schwarber,Freddy Peralta,R,1,NYM,PHI,home,6.0,
SS,R,Trea Turner,Freddy Peralta,R,2,NYM,PHI,home,6.0,
1B,L,Bryce Harper,Freddy Peralta,R,3,NYM,PHI,home,6.0,
LF,L,B. Marsh,Freddy Peralta,R,4,NYM,PHI,home,6.0,
3B,R,Alec Bohm,Freddy Peralta,R,5,NYM,PHI,home,6.0,
2B,L,Bryson Stott,Freddy Peralta,R,6,NYM,PHI,home,6.0,
C,R,J. Realmuto,Freddy Peralta,R,7,NYM,PHI,home,6.0,
RF,L,G. Rincones,Freddy Peralta,R,8,NYM,PHI,home,6.0,
CF,L,J. Crawford,Freddy Peralta,R,9,NYM,PHI,home,6.0,
1B,L,S. Horwitz,Tomoyuki Sugano,R,1,PIT,COL,away,8.0,
2B,L,Brandon Lowe,Tomoyuki Sugano,R,2,PIT,COL,away,8.0,
LF,S,B. Reynolds,Tomoyuki Sugano,R,3,PIT,COL,away,8.0,
DH,L,Ryan O'Hearn,Tomoyuki Sugano,R,4,PIT,COL,away,8.0,
3B,R,N. Gonzales,Tomoyuki Sugano,R,5,PIT,COL,away,8.0,
RF,L,T. Callihan,Tomoyuki Sugano,R,6,PIT,COL,away,8.0,
C,S,E. Rodriguez,Tomoyuki Sugano,R,7,PIT,COL,away,8.0,
CF,S,Jake Mangum,Tomoyuki Sugano,R,8,PIT,COL,away,8.0,
SS,R,Jared Triolo,Tomoyuki Sugano,R,9,PIT,COL,away,8.0,
LF,L,J. McCarthy,Paul Skenes,R,1,PIT,COL,home,8.0,
2B,S,Willi Castro,Paul Skenes,R,2,PIT,COL,home,8.0,
1B,L,TJ Rumfield,Paul Skenes,R,3,PIT,COL,home,8.0,
C,R,H. Goodman,Paul Skenes,R,4,PIT,COL,home,8.0,
DH,L,T. Johnston,Paul Skenes,R,5,PIT,COL,home,8.0,
RF,R,T. Freeman,Paul Skenes,R,6,PIT,COL,home,8.0,
CF,S,Cole Carrigg,Paul Skenes,R,7,PIT,COL,home,8.0,
SS,R,E. Tovar,Paul Skenes,R,8,PIT,COL,home,8.0,
3B,R,Kyle Karros,Paul Skenes,R,9,PIT,COL,home,8.0,
SS,R,Zach Neto,J.T. Ginn,R,1,LAA,ATH,away,9.0,
LF,L,Wade Meckler,J.T. Ginn,R,2,LAA,ATH,away,9.0,
2B,R,V. Grissom,J.T. Ginn,R,3,LAA,ATH,away,9.0,
RF,R,Jo Adell,J.T. Ginn,R,4,LAA,ATH,away,9.0,
1B,L,N. Schanuel,J.T. Ginn,R,5,LAA,ATH,away,9.0,
3B,R,D. Guzman,J.T. Ginn,R,6,LAA,ATH,away,9.0,
C,R,L. O'Hoppe,J.T. Ginn,R,7,LAA,ATH,away,9.0,
DH,L,D. Walton,J.T. Ginn,R,8,LAA,ATH,away,9.0,
CF,R,Jose Siri,J.T. Ginn,R,9,LAA,ATH,away,9.0,
1B,L,Nick Kurtz,Walbert Urena,R,1,LAA,ATH,home,9.0,
C,R,S. Langeliers,Walbert Urena,R,2,LAA,ATH,home,9.0,
LF,L,T. Soderstrom,Walbert Urena,R,3,LAA,ATH,home,9.0,
SS,R,Jacob Wilson,Walbert Urena,R,4,LAA,ATH,home,9.0,
DH,L,C. Cortes,Walbert Urena,R,5,LAA,ATH,home,9.0,
3B,R,Zack Gelof,Walbert Urena,R,6,LAA,ATH,home,9.0,
RF,L,L. Butler,Walbert Urena,R,7,LAA,ATH,home,9.0,
CF,R,Henry Bolte,Walbert Urena,R,8,LAA,ATH,home,9.0,
2B,L,Jeff McNeil,Walbert Urena,R,9,LAA,ATH,home,9.0,
C,S,M. Gasper,Emerson Hancock,R,1,BOS,SEA,away,9.0,
CF,R,C. Rafaela,Emerson Hancock,R,2,BOS,SEA,away,9.0,
RF,L,Wilyer Abreu,Emerson Hancock,R,3,BOS,SEA,away,9.0,
1B,R,W. Contreras,Emerson Hancock,R,4,BOS,SEA,away,9.0,
LF,L,Jarren Duran,Emerson Hancock,R,5,BOS,SEA,away,9.0,
3B,R,Caleb Durbin,Emerson Hancock,R,6,BOS,SEA,away,9.0,
DH,L,M. Yoshida,Emerson Hancock,R,7,BOS,SEA,away,9.0,
2B,R,I. Kiner-Falefa,Emerson Hancock,R,8,BOS,SEA,away,9.0,
SS,L,M. Mayer,Emerson Hancock,R,9,BOS,SEA,away,9.0,
LF,R,R. Refsnyder,Connelly Early,L,1,BOS,SEA,home,9.0,
DH,S,Cal Raleigh,Connelly Early,L,2,BOS,SEA,home,9.0,
CF,R,J. Rodriguez,Connelly Early,L,3,BOS,SEA,home,9.0,
1B,L,Josh Naylor,Connelly Early,L,4,BOS,SEA,home,9.0,
C,R,Mitch Garver,Connelly Early,L,5,BOS,SEA,home,9.0,
2B,L,Cole Young,Connelly Early,L,6,BOS,SEA,home,9.0,
RF,R,V. Robles,Connelly Early,L,7,BOS,SEA,home,9.0,
SS,L,Colt Emerson,Connelly Early,L,8,BOS,SEA,home,9.0,
3B,R,W. Wilson,Connelly Early,L,9,BOS,SEA,home,9.0,
LF,R,Taylor Ward,Yoshinobu Yamamoto,R,1,BAL,LAD,away,9.0,
SS,L,G. Henderson,Yoshinobu Yamamoto,R,2,BAL,LAD,away,9.0,
C,S,A. Rutschman,Yoshinobu Yamamoto,R,3,BAL,LAD,away,9.0,
1B,R,Pete Alonso,Yoshinobu Yamamoto,R,4,BAL,LAD,away,9.0,
DH,L,S. Basallo,Yoshinobu Yamamoto,R,5,BAL,LAD,away,9.0,
RF,S,L. Taveras,Yoshinobu Yamamoto,R,6,BAL,LAD,away,9.0,
CF,L,C. Cowser,Yoshinobu Yamamoto,R,7,BAL,LAD,away,9.0,
2B,L,J. Holliday,Yoshinobu Yamamoto,R,8,BAL,LAD,away,9.0,
3B,R,B. Alexander,Yoshinobu Yamamoto,R,9,BAL,LAD,away,9.0,
RF,L,Kyle Tucker,Trevor Rogers,L,1,BAL,LAD,home,9.0,
CF,R,Andy Pages,Trevor Rogers,L,2,BAL,LAD,home,9.0,
1B,L,F. Freeman,Trevor Rogers,L,3,BAL,LAD,home,9.0,
SS,R,Mookie Betts,Trevor Rogers,L,4,BAL,LAD,home,9.0,
3B,L,Max Muncy,Trevor Rogers,L,5,BAL,LAD,home,9.0,
LF,S,Tommy Edman,Trevor Rogers,L,6,BAL,LAD,home,9.0,
DH,L,Ryan Ward,Trevor Rogers,L,7,BAL,LAD,home,9.0,
C,L,D. Rushing,Trevor Rogers,L,8,BAL,LAD,home,9.0,
2B,S,A. Freeland,Trevor Rogers,L,9,BAL,LAD,home,9.0,
LF,L,T. Larnach,Zac Gallen,R,1,MIN,ARI,away,9.0,
CF,R,Byron Buxton,Zac Gallen,R,2,MIN,ARI,away,9.0,
RF,L,Kody Clemens,Zac Gallen,R,3,MIN,ARI,away,9.0,
1B,R,Royce Lewis,Zac Gallen,R,4,MIN,ARI,away,9.0,
DH,S,Josh Bell,Zac Gallen,R,5,MIN,ARI,away,9.0,
C,S,V. Caratini,Zac Gallen,R,6,MIN,ARI,away,9.0,
3B,S,Brooks Lee,Zac Gallen,R,7,MIN,ARI,away,9.0,
SS,L,Tristan Gray,Zac Gallen,R,8,MIN,ARI,away,9.0,
2B,R,L. Keaschall,Zac Gallen,R,9,MIN,ARI,away,9.0,
2B,S,Ketel Marte,Taj Bradley,R,1,MIN,ARI,home,9.0,
SS,S,G. Perdomo,Taj Bradley,R,2,MIN,ARI,home,9.0,
RF,L,C. Carroll,Taj Bradley,R,3,MIN,ARI,home,9.0,
C,R,G. Moreno,Taj Bradley,R,4,MIN,ARI,home,9.0,
DH,R,L. Gurriel,Taj Bradley,R,5,MIN,ARI,home,9.0,
3B,R,N. Arenado,Taj Bradley,R,6,MIN,ARI,home,9.0,
1B,L,Pavin Smith,Taj Bradley,R,7,MIN,ARI,home,9.0,
CF,S,J. Barrosa,Taj Bradley,R,8,MIN,ARI,home,9.0,
LF,R,Tommy Troy,Taj Bradley,R,9,MIN,ARI,home,9.0,
CF,R,Blake Dunn,Elmer Rodriguez,R,1,CIN,NYY,away,2.0,
LF,L,JJ Bleday,Elmer Rodriguez,R,2,CIN,NYY,away,2.0,
1B,R,Sal Stewart,Elmer Rodriguez,R,3,CIN,NYY,away,2.0,
DH,L,N. Lowe,Elmer Rodriguez,R,4,CIN,NYY,away,2.0,
2B,R,S. Steer,Elmer Rodriguez,R,5,CIN,NYY,away,2.0,
3B,R,E. Suarez,Elmer Rodriguez,R,6,CIN,NYY,away,2.0,
RF,R,Noelvi Marte,Elmer Rodriguez,R,7,CIN,NYY,away,2.0,
C,R,T. Stephenson,Elmer Rodriguez,R,8,CIN,NYY,away,2.0,
SS,S,Edwin Arroyo,Elmer Rodriguez,R,9,CIN,NYY,away,2.0,
1B,L,Ben Rice,Chase Burns,R,1,CIN,NYY,home,2.0,
RF,S,J. Dominguez,Chase Burns,R,2,CIN,NYY,home,2.0,
DH,L,C. Bellinger,Chase Burns,R,3,CIN,NYY,home,2.0,
CF,L,S. Jones,Chase Burns,R,4,CIN,NYY,home,2.0,
2B,L,J. Chisholm,Chase Burns,R,5,CIN,NYY,home,2.0,
LF,R,J. Caballero,Chase Burns,R,6,CIN,NYY,home,2.0,
3B,L,Ryan McMahon,Chase Burns,R,7,CIN,NYY,home,2.0,
C,L,Austin Wells,Chase Burns,R,8,CIN,NYY,home,2.0,
SS,R,A. Volpe,Chase Burns,R,9,CIN,NYY,home,2.0,
DH,L,C. Yelich,Bryce Elder,R,1,MIL,ATL,away,2.0,
LF,R,J. Chourio,Bryce Elder,R,2,MIL,ATL,away,2.0,
2B,L,Brice Turang,Bryce Elder,R,3,MIL,ATL,away,2.0,
C,R,W. Contreras,Bryce Elder,R,4,MIL,ATL,away,2.0,
1B,L,Jake Bauers,Bryce Elder,R,5,MIL,ATL,away,2.0,
CF,L,G. Mitchell,Bryce Elder,R,6,MIL,ATL,away,2.0,
RF,L,Sal Frelick,Bryce Elder,R,7,MIL,ATL,away,2.0,
SS,R,Cooper Pratt,Bryce Elder,R,8,MIL,ATL,away,2.0,
3B,L,D. Hamilton,Bryce Elder,R,9,MIL,ATL,away,2.0,
LF,R,M. Dubon,Robert Gasser,L,1,MIL,ATL,home,2.0,
DH,L,D. Baldwin,Robert Gasser,L,2,MIL,ATL,home,2.0,
2B,S,Ozzie Albies,Robert Gasser,L,3,MIL,ATL,home,2.0,
1B,L,Matt Olson,Robert Gasser,L,4,MIL,ATL,home,2.0,
CF,L,M. Harris,Robert Gasser,L,5,MIL,ATL,home,2.0,
3B,R,Austin Riley,Robert Gasser,L,6,MIL,ATL,home,2.0,
C,R,Joey Bart,Robert Gasser,L,7,MIL,ATL,home,2.0,
RF,R,Eli White,Robert Gasser,L,8,MIL,ATL,home,2.0,
SS,R,Ha-Seong Kim,Robert Gasser,L,9,MIL,ATL,home,2.0,
LF,L,S. Antonacci,Keider Montero,R,1,CWS,DET,away,3.0,
DH,L,A. Benintendi,Keider Montero,R,2,CWS,DET,away,3.0,
3B,L,C. Montgomery,Keider Montero,R,3,CWS,DET,away,3.0,
2B,R,C. Meidroth,Keider Montero,R,4,CWS,DET,away,3.0,
RF,S,B. Montgomery,Keider Montero,R,5,CWS,DET,away,3.0,
1B,L,J. Gonzalez,Keider Montero,R,6,CWS,DET,away,3.0,
C,S,Edgar Quero,Keider Montero,R,7,CWS,DET,away,3.0,
CF,L,T. Peters,Keider Montero,R,8,CWS,DET,away,3.0,
SS,R,L. Acuna,Keider Montero,R,9,CWS,DET,away,3.0,
SS,L,K. McGonigle,Davis Martin,R,1,CWS,DET,home,3.0,
C,R,D. Dingler,Davis Martin,R,2,CWS,DET,home,3.0,
RF,L,K. Carpenter,Davis Martin,R,3,CWS,DET,home,3.0,
DH,L,Riley Greene,Davis Martin,R,4,CWS,DET,home,3.0,
1B,R,S. Torkelson,Davis Martin,R,5,CWS,DET,home,3.0,
3B,L,Colt Keith,Davis Martin,R,6,CWS,DET,home,3.0,
CF,L,James Outman,Davis Martin,R,7,CWS,DET,home,3.0,
LF,S,Trei Cruz,Davis Martin,R,8,CWS,DET,home,3.0,
2B,L,Z. McKinstry,Davis Martin,R,9,CWS,DET,home,3.0,
2B,L,Luis Arraez,Ryan Gusto,R,1,SF,MIA,away,3.0,
DH,L,B. Eldridge,Ryan Gusto,R,2,SF,MIA,away,3.0,
LF,R,C. Schmitt,Ryan Gusto,R,3,SF,MIA,away,3.0,
1B,L,R. Devers,Ryan Gusto,R,4,SF,MIA,away,3.0,
RF,L,Jung Hoo Lee,Ryan Gusto,R,5,SF,MIA,away,3.0,
SS,R,Willy Adames,Ryan Gusto,R,6,SF,MIA,away,3.0,
3B,R,Matt Chapman,Ryan Gusto,R,7,SF,MIA,away,3.0,
CF,L,Drew Gilbert,Ryan Gusto,R,8,SF,MIA,away,3.0,
C,R,Daniel Susac,Ryan Gusto,R,9,SF,MIA,away,3.0,
DH,L,Liam Hicks,Logan Webb,R,1,SF,MIA,home,3.0,
SS,R,Otto Lopez,Logan Webb,R,2,SF,MIA,home,3.0,
1B,L,Kyle Stowers,Logan Webb,R,3,SF,MIA,home,3.0,
2B,S,X. Edwards,Logan Webb,R,4,SF,MIA,home,3.0,
LF,R,H. Hernandez,Logan Webb,R,5,SF,MIA,home,3.0,
RF,L,Owen Caissie,Logan Webb,R,6,SF,MIA,home,3.0,
CF,L,Jakob Marsee,Logan Webb,R,7,SF,MIA,home,3.0,
C,L,Joe Mack,Logan Webb,R,8,SF,MIA,home,3.0,
3B,R,J. Sanoja,Logan Webb,R,9,SF,MIA,home,3.0,
RF,L,James Wood,Nick Martinez,R,1,WSH,TB,away,3.0,
1B,L,Luis Garcia,Nick Martinez,R,2,WSH,TB,away,3.0,
3B,R,Curtis Mead,Nick Martinez,R,3,WSH,TB,away,3.0,
SS,L,CJ Abrams,Nick Martinez,R,4,WSH,TB,away,3.0,
LF,L,Daylen Lile,Nick Martinez,R,5,WSH,TB,away,3.0,
CF,R,Dylan Crews,Nick Martinez,R,6,WSH,TB,away,3.0,
DH,L,Jose Tena,Nick Martinez,R,7,WSH,TB,away,3.0,
C,S,Drew Millas,Nick Martinez,R,8,WSH,TB,away,3.0,
2B,S,Nasim Nunez,Nick Martinez,R,9,WSH,TB,away,3.0,
DH,R,Yandy Diaz,Andrew Alvarez,L,1,WSH,TB,home,3.0,
CF,R,Jonny DeLuca,Andrew Alvarez,L,2,WSH,TB,home,3.0,
1B,L,J. Aranda,Andrew Alvarez,L,3,WSH,TB,home,3.0,
3B,R,J. Caminero,Andrew Alvarez,L,4,WSH,TB,home,3.0,
RF,R,Ryan Vilade,Andrew Alvarez,L,5,WSH,TB,home,3.0,
2B,R,B. Williamson,Andrew Alvarez,L,6,WSH,TB,home,3.0,
LF,L,C. Simpson,Andrew Alvarez,L,7,WSH,TB,home,3.0,
C,R,Nick Fortes,Andrew Alvarez,L,8,WSH,TB,home,3.0,
SS,S,Taylor Walls,Andrew Alvarez,L,9,WSH,TB,home,3.0,
2B,L,J. Wetherholt,Stephen Kolek,R,1,STL,KC,away,3.0,
DH,R,Ivan Herrera,Stephen Kolek,R,2,STL,KC,away,3.0,
1B,L,A. Burleson,Stephen Kolek,R,3,STL,KC,away,3.0,
RF,R,J. Walker,Stephen Kolek,R,4,STL,KC,away,3.0,
LF,L,L. Nootbaar,Stephen Kolek,R,5,STL,KC,away,3.0,
SS,R,Masyn Winn,Stephen Kolek,R,6,STL,KC,away,3.0,
C,L,Jimmy Crooks,Stephen Kolek,R,7,STL,KC,away,3.0,
3B,R,Blaze Jordan,Stephen Kolek,R,8,STL,KC,away,3.0,
CF,L,N. Church,Stephen Kolek,R,9,STL,KC,away,3.0,
DH,L,C. Jensen,Dustin May,R,1,STL,KC,home,3.0,
SS,R,M. Garcia,Dustin May,R,2,STL,KC,home,3.0,
1B,L,J. Caglianone,Dustin May,R,3,STL,KC,home,3.0,
C,R,S. Perez,Dustin May,R,4,STL,KC,home,3.0,
2B,L,M. Massey,Dustin May,R,5,STL,KC,home,3.0,
RF,R,Lane Thomas,Dustin May,R,6,STL,KC,home,3.0,
CF,L,K. Misner,Dustin May,R,7,STL,KC,home,3.0,
3B,R,Nick Loftin,Dustin May,R,8,STL,KC,home,3.0,
LF,S,I. Collins,Dustin May,R,9,STL,KC,home,3.0,
2B,L,T. Bazzana,Kai-Wei Teng,R,1,CLE,HOU,away,3.0,
1B,L,K. Manzardo,Kai-Wei Teng,R,2,CLE,HOU,away,3.0,
SS,S,B. Rocchio,Kai-Wei Teng,R,3,CLE,HOU,away,3.0,
DH,R,Rhys Hoskins,Kai-Wei Teng,R,4,CLE,HOU,away,3.0,
CF,L,D. Schneemann,Kai-Wei Teng,R,5,CLE,HOU,away,3.0,
LF,L,Steven Kwan,Kai-Wei Teng,R,6,CLE,HOU,away,3.0,
3B,R,G. Arias,Kai-Wei Teng,R,7,CLE,HOU,away,3.0,
RF,L,K. Watson,Kai-Wei Teng,R,8,CLE,HOU,away,3.0,
C,S,P. Bailey,Kai-Wei Teng,R,9,CLE,HOU,away,3.0,
SS,R,Jeremy Pena,Slade Cecconi,R,1,CLE,HOU,home,3.0,
DH,L,Y. Alvarez,Slade Cecconi,R,2,CLE,HOU,home,3.0,
1B,R,C. Walker,Slade Cecconi,R,3,CLE,HOU,home,3.0,
3B,R,I. Paredes,Slade Cecconi,R,4,CLE,HOU,home,3.0,
2B,R,Jose Altuve,Slade Cecconi,R,5,CLE,HOU,home,3.0,
RF,R,Cam Smith,Slade Cecconi,R,6,CLE,HOU,home,3.0,
LF,L,J. Loperfido,Slade Cecconi,R,7,CLE,HOU,home,3.0,
C,R,Yainer Diaz,Slade Cecconi,R,8,CLE,HOU,home,3.0,
CF,R,Jake Meyers,Slade Cecconi,R,9,CLE,HOU,home,3.0,
DH,R,G. Springer,Shota Imanaga,L,1,TOR,CHC,away,3.0,
1B,R,V. Guerrero,Shota Imanaga,L,2,TOR,CHC,away,3.0,
3B,R,K. Okamoto,Shota Imanaga,L,3,TOR,CHC,away,3.0,
C,R,A. Kirk,Shota Imanaga,L,4,TOR,CHC,away,3.0,
CF,L,D. Varsho,Shota Imanaga,L,5,TOR,CHC,away,3.0,
2B,R,E. Clement,Shota Imanaga,L,6,TOR,CHC,away,3.0,
RF,L,Nathan Lukes,Shota Imanaga,L,7,TOR,CHC,away,3.0,
LF,R,D. Schneider,Shota Imanaga,L,8,TOR,CHC,away,3.0,
SS,L,A. Gimenez,Shota Imanaga,L,9,TOR,CHC,away,3.0,
CF,L,P. Crow-Armstrong,Dylan Cease,R,1,TOR,CHC,home,3.0,
3B,R,Alex Bregman,Dylan Cease,R,2,TOR,CHC,home,3.0,
1B,L,M. Busch,Dylan Cease,R,3,TOR,CHC,home,3.0,
DH,R,Seiya Suzuki,Dylan Cease,R,4,TOR,CHC,home,3.0,
LF,S,Ian Happ,Dylan Cease,R,5,TOR,CHC,home,3.0,
RF,R,Matt Shaw,Dylan Cease,R,6,TOR,CHC,home,3.0,
2B,R,Nico Hoerner,Dylan Cease,R,7,TOR,CHC,home,3.0,
C,R,Carson Kelly,Dylan Cease,R,8,TOR,CHC,home,3.0,
SS,R,D. Swanson,Dylan Cease,R,9,TOR,CHC,home,3.0,
2B,R,F. Tatis,Nathan Eovaldi,R,1,SD,TEX,away,3.0,
1B,R,Ty France,Nathan Eovaldi,R,2,SD,TEX,away,3.0,
3B,R,M. Machado,Nathan Eovaldi,R,3,SD,TEX,away,3.0,
SS,R,X. Bogaerts,Nathan Eovaldi,R,4,SD,TEX,away,3.0,
CF,L,J. Merrill,Nathan Eovaldi,R,5,SD,TEX,away,3.0,
RF,R,Jase Bowen,Nathan Eovaldi,R,6,SD,TEX,away,3.0,
LF,R,Samad Taylor,Nathan Eovaldi,R,7,SD,TEX,away,3.0,
DH,R,Nick Solak,Nathan Eovaldi,R,8,SD,TEX,away,3.0,
C,R,R. Duran,Nathan Eovaldi,R,9,SD,TEX,away,3.0,
DH,L,Joc Pederson,Lucas Giolito,R,1,SD,TEX,home,3.0,
3B,R,Josh Jung,Lucas Giolito,R,2,SD,TEX,home,3.0,
LF,R,W. Langford,Lucas Giolito,R,3,SD,TEX,home,3.0,
RF,L,B. Nimmo,Lucas Giolito,R,4,SD,TEX,home,3.0,
SS,R,E. Duran,Lucas Giolito,R,5,SD,TEX,home,3.0,
1B,R,Jake Burger,Lucas Giolito,R,6,SD,TEX,home,3.0,
CF,L,A. Osuna,Lucas Giolito,R,7,SD,TEX,home,3.0,
C,R,K. Higashioka,Lucas Giolito,R,8,SD,TEX,home,3.0,
2B,L,Nicky Lopez,Lucas Giolito,R,9,SD,TEX,home,3.0,
1B,L,S. Horwitz,Michael Lorenzen,R,1,PIT,COL,away,4.0,
2B,L,Brandon Lowe,Michael Lorenzen,R,2,PIT,COL,away,4.0,
LF,S,B. Reynolds,Michael Lorenzen,R,3,PIT,COL,away,4.0,
DH,L,Ryan O'Hearn,Michael Lorenzen,R,4,PIT,COL,away,4.0,
3B,R,N. Gonzales,Michael Lorenzen,R,5,PIT,COL,away,4.0,
RF,L,T. Callihan,Michael Lorenzen,R,6,PIT,COL,away,4.0,
C,S,E. Rodriguez,Michael Lorenzen,R,7,PIT,COL,away,4.0,
CF,S,Jake Mangum,Michael Lorenzen,R,8,PIT,COL,away,4.0,
SS,R,Jared Triolo,Michael Lorenzen,R,9,PIT,COL,away,4.0,
LF,L,J. McCarthy,Jared Jones,R,1,PIT,COL,home,4.0,
2B,S,Willi Castro,Jared Jones,R,2,PIT,COL,home,4.0,
1B,L,TJ Rumfield,Jared Jones,R,3,PIT,COL,home,4.0,
C,R,H. Goodman,Jared Jones,R,4,PIT,COL,home,4.0,
DH,L,T. Johnston,Jared Jones,R,5,PIT,COL,home,4.0,
RF,R,T. Freeman,Jared Jones,R,6,PIT,COL,home,4.0,
CF,S,Cole Carrigg,Jared Jones,R,7,PIT,COL,home,4.0,
SS,R,E. Tovar,Jared Jones,R,8,PIT,COL,home,4.0,
3B,R,Kyle Karros,Jared Jones,R,9,PIT,COL,home,4.0,
LF,L,T. Larnach,Jose Cabrera,R,1,MIN,ARI,away,4.0,
CF,R,Byron Buxton,Jose Cabrera,R,2,MIN,ARI,away,4.0,
RF,L,Kody Clemens,Jose Cabrera,R,3,MIN,ARI,away,4.0,
1B,R,Royce Lewis,Jose Cabrera,R,4,MIN,ARI,away,4.0,
DH,S,Josh Bell,Jose Cabrera,R,5,MIN,ARI,away,4.0,
C,S,V. Caratini,Jose Cabrera,R,6,MIN,ARI,away,4.0,
