position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
DH,L,S. Ohtani,Jared Jones,R,1,LAD,PIT,away,3.0,
CF,R,Andy Pages,Jared Jones,R,2,LAD,PIT,away,3.0,
1B,L,F. Freeman,Jared Jones,R,3,LAD,PIT,away,3.0,
SS,R,Mookie Betts,Jared Jones,R,4,LAD,PIT,away,3.0,
3B,L,Max Muncy,Jared Jones,R,5,LAD,PIT,away,3.0,
RF,L,Kyle Tucker,Jared Jones,R,6,LAD,PIT,away,3.0,
LF,L,Ryan Ward,Jared Jones,R,7,LAD,PIT,away,3.0,
C,L,D. Rushing,Jared Jones,R,8,LAD,PIT,away,3.0,
2B,S,A. Freeland,Jared Jones,R,9,LAD,PIT,away,3.0,
1B,L,S. Horwitz,Shohei Ohtani,R,1,LAD,PIT,home,3.0,
2B,L,Brandon Lowe,Shohei Ohtani,R,2,LAD,PIT,home,3.0,
RF,S,B. Reynolds,Shohei Ohtani,R,3,LAD,PIT,home,3.0,
DH,L,Ryan O'Hearn,Shohei Ohtani,R,4,LAD,PIT,home,3.0,
3B,R,N. Gonzales,Shohei Ohtani,R,5,LAD,PIT,home,3.0,
CF,L,Oneil Cruz,Shohei Ohtani,R,6,LAD,PIT,home,3.0,
C,S,E. Rodriguez,Shohei Ohtani,R,7,LAD,PIT,home,3.0,
LF,S,Jake Mangum,Shohei Ohtani,R,8,LAD,PIT,home,3.0,
SS,R,Jared Triolo,Shohei Ohtani,R,9,LAD,PIT,home,3.0,
2B,S,Ketel Marte,Ryan Gusto,R,1,ARI,MIA,away,3.0,
RF,L,C. Carroll,Ryan Gusto,R,2,ARI,MIA,away,3.0,
C,R,G. Moreno,Ryan Gusto,R,3,ARI,MIA,away,3.0,
3B,R,N. Arenado,Ryan Gusto,R,4,ARI,MIA,away,3.0,
DH,L,Pavin Smith,Ryan Gusto,R,5,ARI,MIA,away,3.0,
SS,S,G. Perdomo,Ryan Gusto,R,6,ARI,MIA,away,3.0,
1B,S,I. Vargas,Ryan Gusto,R,7,ARI,MIA,away,3.0,
CF,R,R. Waldschmidt,Ryan Gusto,R,8,ARI,MIA,away,3.0,
LF,R,Tommy Troy,Ryan Gusto,R,9,ARI,MIA,away,3.0,
C,L,Liam Hicks,Ryne Nelson,R,1,ARI,MIA,home,3.0,
SS,R,Otto Lopez,Ryne Nelson,R,2,ARI,MIA,home,3.0,
DH,L,Kyle Stowers,Ryne Nelson,R,3,ARI,MIA,home,3.0,
2B,S,X. Edwards,Ryne Nelson,R,4,ARI,MIA,home,3.0,
LF,R,H. Hernandez,Ryne Nelson,R,5,ARI,MIA,home,3.0,
CF,L,Jakob Marsee,Ryne Nelson,R,6,ARI,MIA,home,3.0,
1B,R,C. Morel,Ryne Nelson,R,7,ARI,MIA,home,3.0,
RF,L,Owen Caissie,Ryne Nelson,R,8,ARI,MIA,home,3.0,
3B,R,J. Sanoja,Ryne Nelson,R,9,ARI,MIA,home,3.0,
DH,L,K. Schwarber,Max Scherzer,R,1,PHI,TOR,away,4.0,
SS,R,Trea Turner,Max Scherzer,R,2,PHI,TOR,away,4.0,
1B,L,Bryce Harper,Max Scherzer,R,3,PHI,TOR,away,4.0,
LF,L,B. Marsh,Max Scherzer,R,4,PHI,TOR,away,4.0,
3B,R,Alec Bohm,Max Scherzer,R,5,PHI,TOR,away,4.0,
2B,L,Bryson Stott,Max Scherzer,R,6,PHI,TOR,away,4.0,
C,R,J. Realmuto,Max Scherzer,R,7,PHI,TOR,away,4.0,
RF,R,A. Garcia,Max Scherzer,R,8,PHI,TOR,away,4.0,
CF,L,J. Crawford,Max Scherzer,R,9,PHI,TOR,away,4.0,
DH,R,G. Springer,Jesus Luzardo,L,1,PHI,TOR,home,4.0,
1B,R,V. Guerrero,Jesus Luzardo,L,2,PHI,TOR,home,4.0,
3B,R,K. Okamoto,Jesus Luzardo,L,3,PHI,TOR,home,4.0,
CF,L,D. Varsho,Jesus Luzardo,L,4,PHI,TOR,home,4.0,
SS,R,E. Clement,Jesus Luzardo,L,5,PHI,TOR,home,4.0,
RF,R,Myles Straw,Jesus Luzardo,L,6,PHI,TOR,home,4.0,
C,S,B. Valenzuela,Jesus Luzardo,L,7,PHI,TOR,home,4.0,
LF,L,Y. Pinango,Jesus Luzardo,L,8,PHI,TOR,home,4.0,
2B,R,C. McAdoo,Jesus Luzardo,L,9,PHI,TOR,home,4.0,
2B,L,J. Wetherholt,David Peterson,L,1,STL,NYM,away,4.0,
DH,R,Ivan Herrera,David Peterson,L,2,STL,NYM,away,4.0,
1B,L,A. Burleson,David Peterson,L,3,STL,NYM,away,4.0,
RF,R,J. Walker,David Peterson,L,4,STL,NYM,away,4.0,
LF,L,L. Nootbaar,David Peterson,L,5,STL,NYM,away,4.0,
SS,R,Masyn Winn,David Peterson,L,6,STL,NYM,away,4.0,
3B,L,Nolan Gorman,David Peterson,L,7,STL,NYM,away,4.0,
CF,L,N. Church,David Peterson,L,8,STL,NYM,away,4.0,
C,L,Jimmy Crooks,David Peterson,L,9,STL,NYM,away,4.0,
RF,L,Carson Benge,Andre Pallante,R,1,STL,NYM,home,4.0,
SS,R,Bo Bichette,Andre Pallante,R,2,STL,NYM,home,4.0,
LF,L,Juan Soto,Andre Pallante,R,3,STL,NYM,home,4.0,
1B,L,Jared Young,Andre Pallante,R,4,STL,NYM,home,4.0,
2B,R,M. Semien,Andre Pallante,R,5,STL,NYM,home,4.0,
CF,L,A.J. Ewing,Andre Pallante,R,6,STL,NYM,home,4.0,
DH,R,F. Alvarez,Andre Pallante,R,7,STL,NYM,home,4.0,
3B,L,Brett Baty,Andre Pallante,R,8,STL,NYM,home,4.0,
C,R,Luis Torrens,Andre Pallante,R,9,STL,NYM,home,4.0,
LF,R,M. Dubon,Davis Martin,R,1,ATL,CWS,away,4.0,
CF,L,M. Harris,Davis Martin,R,2,ATL,CWS,away,4.0,
1B,L,Matt Olson,Davis Martin,R,3,ATL,CWS,away,4.0,
2B,S,Ozzie Albies,Davis Martin,R,4,ATL,CWS,away,4.0,
DH,L,D. Smith,Davis Martin,R,5,ATL,CWS,away,4.0,
3B,R,Austin Riley,Davis Martin,R,6,ATL,CWS,away,4.0,
RF,L,M. Yastrzemski,Davis Martin,R,7,ATL,CWS,away,4.0,
SS,R,Jorge Mateo,Davis Martin,R,8,ATL,CWS,away,4.0,
C,S,Sandy Leon,Davis Martin,R,9,ATL,CWS,away,4.0,
2B,R,C. Meidroth,Chris Sale,L,1,ATL,CWS,home,4.0,
1B,R,M. Vargas,Chris Sale,L,2,ATL,CWS,home,4.0,
3B,L,C. Montgomery,Chris Sale,L,3,ATL,CWS,home,4.0,
RF,R,R. Grichuk,Chris Sale,L,4,ATL,CWS,home,4.0,
C,S,Edgar Quero,Chris Sale,L,5,ATL,CWS,home,4.0,
DH,L,A. Benintendi,Chris Sale,L,6,ATL,CWS,home,4.0,
CF,S,B. Montgomery,Chris Sale,L,7,ATL,CWS,home,4.0,
LF,L,S. Antonacci,Chris Sale,L,8,ATL,CWS,home,4.0,
SS,R,L. Acuna,Chris Sale,L,9,ATL,CWS,home,4.0,
DH,L,Joc Pederson,Seth Lugo,R,1,TEX,KC,away,4.0,
SS,L,Corey Seager,Seth Lugo,R,2,TEX,KC,away,4.0,
3B,R,Josh Jung,Seth Lugo,R,3,TEX,KC,away,4.0,
RF,L,B. Nimmo,Seth Lugo,R,4,TEX,KC,away,4.0,
LF,R,W. Langford,Seth Lugo,R,5,TEX,KC,away,4.0,
2B,R,E. Duran,Seth Lugo,R,6,TEX,KC,away,4.0,
1B,R,Jake Burger,Seth Lugo,R,7,TEX,KC,away,4.0,
CF,L,Evan Carter,Seth Lugo,R,8,TEX,KC,away,4.0,
C,R,K. Higashioka,Seth Lugo,R,9,TEX,KC,away,4.0,
CF,R,Lane Thomas,MacKenzie Gore,L,1,TEX,KC,home,4.0,
SS,R,Bobby Witt,MacKenzie Gore,L,2,TEX,KC,home,4.0,
3B,R,M. Garcia,MacKenzie Gore,L,3,TEX,KC,home,4.0,
C,R,S. Perez,MacKenzie Gore,L,4,TEX,KC,home,4.0,
DH,R,S. Marte,MacKenzie Gore,L,5,TEX,KC,home,4.0,
1B,L,V. Pasquantino,MacKenzie Gore,L,6,TEX,KC,home,4.0,
2B,R,Nick Loftin,MacKenzie Gore,L,7,TEX,KC,home,4.0,
RF,L,J. Caglianone,MacKenzie Gore,L,8,TEX,KC,home,4.0,
LF,R,T. Tolbert,MacKenzie Gore,L,9,TEX,KC,home,4.0,
CF,L,P. Crow-Armstrong,Michael Lorenzen,R,1,CHC,COL,away,5.0,
2B,R,Nico Hoerner,Michael Lorenzen,R,2,CHC,COL,away,5.0,
1B,L,M. Busch,Michael Lorenzen,R,3,CHC,COL,away,5.0,
3B,R,Alex Bregman,Michael Lorenzen,R,4,CHC,COL,away,5.0,
