game_year,pitch_type,bat_speed,length,angle,direction,tilt,zswing%,whiff%,zone%,swing%,chase%,csw
2023,CH,70.70157815047752,7.812200093174936,15.493495913343718,-10.76986156971625,33.49112178824326,76.6,31.5,38.9,50.9,41.5,25.6
2023,CU,69.07532630522088,7.7320783132530115,15.43286447585052,-13.063495513180607,33.6469767275103,58.8,31.5,42.199999999999996,41.4,40.0,30.8
2023,FC,70.49936856673298,7.209203356111064,9.262999054886203,0.1649040835291953,32.75085755058733,69.6,23.9,51.2,49.7,28.299999999999997,27.900000000000002
2023,FF,69.67367142488607,6.761918479662913,4.655107076102039,9.370743672563355,31.053889697283168,68.8,22.400000000000002,54.6,48.5,22.5,27.900000000000002
2023,FO,67.31324503311258,8.188741721854305,21.03811294205591,-24.73326872100235,34.92967186130378,73.8,58.599999999999994,22.5,48.9,66.10000000000001,34.599999999999994
2023,FS,70.29078791469195,7.762174170616113,15.3533617973604,-11.027651462832788,34.19345366213671,80.2,35.199999999999996,35.6,51.6,44.7,25.3
2023,KC,68.99863676341249,7.68249780123131,13.821226954761846,-9.784469738412964,33.96174994632298,59.4,33.5,42.5,44.1,42.8,32.1
2023,KN,72.09859154929578,7.4802816901408455,14.658971585776303,-9.88387832500885,30.82568392628672,67.9,26.0,48.8,42.4,21.9,23.3
2023,SI,70.53061840120664,6.93019333607569,4.527347031810442,7.398486851834951,33.41554193696011,61.8,14.2,55.50000000000001,45.6,24.8,28.299999999999997
2023,SL,69.57839423249149,7.688917248790973,13.832971325899594,-9.216509280216265,33.39798962318647,69.0,34.1,44.4,48.4,36.7,31.0
2023,ST,68.58865627488906,7.716179315052907,15.1577924733081,-11.78173965143391,32.50664042804142,65.2,32.9,43.5,46.2,38.7,31.0
2023,SV,69.60132075471698,7.603962264150943,12.657243052835883,-8.606736667670773,33.68103519869166,57.49999999999999,23.5,46.400000000000006,42.199999999999996,36.7,30.599999999999998
2024,CH,70.5463727348099,7.793769986971456,15.23319270620827,-10.401443288332748,33.31190369261146,76.4,30.9,38.800000000000004,50.3,41.0,25.1
2024,CU,68.9027543993879,7.745041492554882,15.451762557156687,-12.973771024212844,33.6265342832815,57.9,31.1,43.4,41.6,39.5,31.6
2024,FC,70.48166994552058,7.1807203389830505,9.1045638151513,0.48546582404410865,32.259673409213384,69.69999999999999,23.599999999999998,51.4,49.1,27.1,27.900000000000002
2024,FF,69.62376476775783,6.761731906148647,4.764525949651294,8.974737927610908,30.637885370778566,69.19999999999999,22.0,55.2,48.9,21.9,27.900000000000002
2024,FO,67.9910447761194,7.943283582089553,14.854329793761476,-14.1958405308649,33.50283599166573,74.1,32.1,36.199999999999996,54.400000000000006,50.6,29.5
2024,FS,70.17442162965716,7.7688562668401,14.81037127569948,-10.743219751350718,33.91442125379158,79.80000000000001,34.1,37.0,52.2,43.4,25.4
2024,KC,68.59115901898734,7.705300632911392,13.975825468478096,-10.699815203685569,33.93196563089398,61.5,34.4,40.9,44.2,43.2,31.7
2024,KN,69.9855421686747,7.420000000000001,12.650029283122256,-6.9268603562358795,32.6328045064941,68.8,28.299999999999997,42.3,43.6,33.1,25.2
2024,SI,70.40123952885146,6.912116766594378,4.385642537186636,7.339135790633864,33.299969226506754,61.8,13.600000000000001,56.599999999999994,45.7,23.400000000000002,28.4
2024,SL,69.22044387357604,7.670731296456171,13.58085703928939,-9.034358323102229,32.94080454464129,69.1,34.0,45.1,48.9,36.199999999999996,31.2
2024,ST,68.69600388062459,7.691504204009978,14.567152894262419,-10.896372508664303,32.27918675006037,64.60000000000001,31.4,44.0,45.7,37.8,30.5
2024,SV,69.17034434293745,7.617568517217147,12.615716805134971,-8.011149825898437,33.03783575770356,57.199999999999996,28.4,42.9,41.3,40.6,31.5
2025,CH,70.79421378340365,7.795960618846696,15.05185987592148,-10.036784751834807,33.2600004734987,76.5,31.0,39.0,50.2,40.6,24.5
2025,CU,68.91356191078107,7.727876968452099,15.282192741224081,-12.579185893297339,33.537366828235136,57.99999999999999,31.0,43.6,41.3,38.7,31.0
2025,FC,70.82327916814928,7.165543826355118,9.023924459665242,0.7242056104850342,31.9612693883411,68.30000000000001,22.400000000000002,53.800000000000004,49.1,25.1,27.6
2025,FF,69.8737499413118,6.745695103056482,4.697821939957186,9.045415669937347,30.550411331679427,68.10000000000001,21.7,56.49999999999999,48.6,20.9,27.800000000000004
2025,FO,66.61639784946236,7.968817204301075,17.481295481790863,-16.669836126178676,34.89146976284013,74.4,40.8,28.7,50.7,57.9,26.900000000000002
2025,FS,70.52167630057804,7.789314858891533,15.175760310314399,-11.287425270622807,33.47496313393348,79.60000000000001,34.5,38.4,51.9,41.199999999999996,25.2
2025,KC,68.93455240174673,7.721615720524017,13.94248301937101,-10.553148588909547,33.827438597752064,60.699999999999996,36.199999999999996,41.199999999999996,44.7,43.9,31.900000000000002
2025,KN,70.29787234042553,7.314893617021277,11.706704770477833,-7.285590104854561,33.27084534632307,69.19999999999999,16.0,38.0,36.5,28.000000000000004,18.2
2025,SI,70.60968295849563,6.886828328516982,4.1656214002714975,7.543720503297884,33.25721417504772,60.199999999999996,13.900000000000002,57.9,45.2,22.900000000000002,28.7
2025,SL,69.48710656359573,7.655342533166561,13.33841120066161,-8.678773098084152,32.821972961652634,68.8,33.2,46.6,49.0,34.699999999999996,30.599999999999998
2025,ST,68.71100999743655,7.6740536614543275,14.304220917654607,-10.538558262536316,32.37673516410613,63.5,31.7,45.2,45.1,36.4,30.599999999999998
2025,SV,68.88672391017172,7.6642668428005285,13.68066736445983,-9.27827847378292,33.276941228537005,61.199999999999996,32.5,42.8,43.6,39.900000000000006,30.8
2026,CH,70.77872033023735,7.795789473684211,15.09128174684674,-10.473122192525398,33.279542313212396,75.2,31.900000000000002,36.6,49.3,44.3,24.8
2026,CU,69.24573722627737,7.724686131386861,15.078942687796031,-12.423466121217222,33.49395486674446,56.2,30.7,40.2,40.300000000000004,43.9,30.4
2026,FC,70.9600306122449,7.184530612244897,9.060604883821359,0.1830467622244005,31.98202939991408,68.10000000000001,22.5,51.2,48.5,28.199999999999996,27.500000000000004
2026,FF,69.97589059510884,6.762383020526343,4.747136656164917,8.536143014392206,30.692723552992366,67.4,21.7,52.7,48.4,26.700000000000003,27.900000000000002
2026,FO,70.03673469387755,7.738775510204081,15.032724835933585,-11.665928866970464,31.69975695197747,77.60000000000001,36.0,33.5,44.1,41.0,22.5
2026,FS,70.57234138631746,7.78044705351095,14.858451542909291,-10.715874606151859,33.63339532534548,77.2,34.8,35.6,51.0,46.0,25.8
2026,KC,69.54007782101166,7.726410505836576,14.559631743773142,-11.285326666135878,33.462597054176044,63.1,34.300000000000004,38.2,45.6,47.199999999999996,30.2
2026,KN,69.83103448275861,7.279310344827586,12.103551117937284,-6.947261714823292,32.361402745791786,69.19999999999999,21.0,47.4,45.300000000000004,27.400000000000002,26.3
2026,SI,70.8444048286049,6.941353843019407,4.691075565280413,6.638277621838848,32.99649804993909,60.9,13.8,55.60000000000001,45.1,24.9,28.299999999999997
2026,SL,69.57533864068442,7.668833174904943,13.430497002949807,-8.989437588292416,32.901124975358705,66.2,33.6,43.5,47.599999999999994,39.5,31.1
2026,ST,68.74017471845069,7.65592042942848,14.10332465337367,-10.617779578789628,32.36775754450659,61.6,31.2,42.199999999999996,44.1,41.099999999999994,30.099999999999998
2026,SV,68.56689774696707,7.665857885615251,12.423772842508217,-9.230807901249069,34.029154697259344,58.199999999999996,28.499999999999996,40.2,42.6,45.1,29.5
