stat,pre_split,prior_year,two_years,league_average,correlation,pre_split_bbe,prior_bbe,two_years_bbe,data_points
ld,0.06,0.048,0.071,0.821,0.19,25,25,50,858
barrel,0.194,0.047,0.108,0.652,0.46,25,25,50,858
weak,0.632,0.089,0.137,0.142,0.25,25,25,50,858
hr,0.094,0.082,0.1,0.724,0.47,25,25,50,858
swing%,0.446,0.181,0.202,0.171,0.08,25,25,50,858
chase%,0.692,0.075,0.093,0.139,0.24,25,25,50,858
xwobacon,0.256,0.051,0.069,0.624,0.11,50,25,50,618
la,0.859,0.005,0.058,0.078,0.61,50,25,50,618
ev,0.558,0.054,0.116,0.272,0.02,50,25,50,618
gb/fb,0.524,0.039,0.033,0.404,0.84,50,25,50,618
x_move,0.953,0.012,0.008,0.027,0.11,50,25,50,618
z_move,0.958,0.0,0.004,0.038,0.14,50,25,50,618
extension,0.905,0.059,0.003,0.033,0.01,50,25,50,618
velo,0.996,0.0,0.0,0.004,0.01,50,25,50,618
spin_rate,0.995,0.0,0.0,0.005,0.02,50,25,50,618
whiff,0.873,0.024,0.1,0.003,0.24,50,25,50,618
hh,0.407,0.11,0.112,0.371,0.17,50,25,50,618
ld,0.088,0.022,0.084,0.805,0.2,50,25,50,618
barrel,0.3,0.036,0.065,0.6,0.43,50,25,50,618
weak,0.765,0.017,0.076,0.141,0.22,50,25,50,618
hr,0.192,0.053,0.123,0.632,0.47,50,25,50,618
swing%,0.616,0.085,0.145,0.153,0.08,50,25,50,618
chase%,0.76,0.024,0.094,0.122,0.21,50,25,50,618
xwobacon,0.287,0.073,0.128,0.512,0.12,75,25,50,401
la,0.884,0.014,0.025,0.077,0.57,75,25,50,401
ev,0.624,0.059,0.103,0.214,0.02,75,25,50,401
gb/fb,0.602,0.075,0.002,0.321,0.78,75,25,50,401
x_move,0.963,0.01,0.0,0.028,0.11,75,25,50,401
z_move,0.959,0.004,0.0,0.037,0.12,75,25,50,401
extension,0.94,0.025,0.0,0.035,0.01,75,25,50,401
velo,1.0,0.0,0.0,0.0,0.01,75,25,50,401
spin_rate,1.0,0.0,0.0,0.0,0.02,75,25,50,401
whiff,0.913,0.0,0.087,0.0,0.21,75,25,50,401
hh,0.422,0.095,0.176,0.307,0.17,75,25,50,401
ld,0.199,0.027,0.0,0.774,0.21,75,25,50,401
barrel,0.388,0.055,0.089,0.469,0.45,75,25,50,401
weak,0.807,0.073,0.056,0.064,0.21,75,25,50,401
hr,0.236,0.035,0.105,0.624,0.48,75,25,50,401
swing%,0.745,0.037,0.091,0.128,0.07,75,25,50,401
chase%,0.827,0.04,0.021,0.112,0.2,75,25,50,401
xwobacon,0.37,0.002,0.097,0.531,0.11,100,25,50,226
la,0.88,0.0,0.0,0.12,0.53,100,25,50,226
ev,0.654,0.031,0.1,0.215,0.02,100,25,50,226
gb/fb,0.911,0.0,0.057,0.032,0.76,100,25,50,226
x_move,0.935,0.0,0.02,0.046,0.11,100,25,50,226
z_move,0.986,0.014,0.0,0.0,0.11,100,25,50,226
extension,0.931,0.036,0.0,0.033,0.01,100,25,50,226
velo,1.0,0.0,0.0,0.0,0.01,100,25,50,226
spin_rate,1.0,0.0,0.0,0.0,0.02,100,25,50,226
whiff,0.865,0.0,0.035,0.1,0.18,100,25,50,226
hh,0.485,0.104,0.195,0.216,0.16,100,25,50,226
ld,0.338,0.0,0.003,0.659,0.2,100,25,50,226
barrel,0.401,0.0,0.045,0.554,0.46,100,25,50,226
weak,0.923,0.022,0.005,0.051,0.18,100,25,50,226
hr,0.267,0.034,0.13,0.57,0.5,100,25,50,226
swing%,0.753,0.068,0.073,0.106,0.07,100,25,50,226
chase%,0.788,0.0,0.111,0.101,0.18,100,25,50,226
xwobacon,0.0,0.122,0.01,0.869,0.29,0,50,50,1115
la,0.0,0.401,0.252,0.347,1.44,0,50,50,1115
ev,0.0,0.327,0.139,0.534,0.05,0,50,50,1115
gb/fb,0.0,0.23,0.167,0.604,1.37,0,50,50,1115
x_move,0.0,0.726,0.091,0.183,0.89,0,50,50,1115
z_move,0.0,0.295,0.0,0.705,2.11,0,50,50,1115
extension,0.0,0.935,0.045,0.02,0.03,0,50,50,1115
velo,0.0,0.451,0.387,0.163,0.07,0,50,50,1115
spin_rate,0.0,0.431,0.0,0.569,0.21,0,50,50,1115
whiff,0.0,0.371,0.348,0.282,0.57,0,50,50,1115
hh,0.0,0.184,0.287,0.529,0.41,0,50,50,1115
ld,0.0,0.137,0.0,0.863,0.48,0,50,50,1115
barrel,0.0,0.143,0.011,0.846,1.02,0,50,50,1115
weak,0.0,0.316,0.246,0.438,0.49,0,50,50,1115
hr,0.0,0.184,0.07,0.747,1.11,0,50,50,1115
swing%,0.0,0.392,0.345,0.263,0.15,0,50,50,1115
chase%,0.0,0.382,0.252,0.366,0.43,0,50,50,1115
xwobacon,0.061,0.092,0.106,0.741,0.12,10,50,50,979
la,0.577,0.192,0.111,0.12,0.87,10,50,50,979
ev,0.249,0.153,0.197,0.402,0.03,10,50,50,979
gb/fb,0.384,0.306,0.246,0.064,0.82,10,50,50,979
x_move,0.927,0.018,0.0,0.056,0.17,10,50,50,979
z_move,0.939,0.0,0.001,0.06,0.23,10,50,50,979
extension,0.786,0.181,0.025,0.008,0.02,10,50,50,979
velo,0.993,0.0,0.003,0.004,0.01,10,50,50,979
spin_rate,0.993,0.002,0.0,0.005,0.03,10,50,50,979
whiff,0.541,0.171,0.232,0.056,0.36,10,50,50,979
hh,0.161,0.185,0.175,0.478,0.19,10,50,50,979
ld,0.021,0.094,0.089,0.796,0.18,10,50,50,979
barrel,0.09,0.08,0.106,0.724,0.48,10,50,50,979
weak,0.417,0.233,0.186,0.164,0.32,10,50,50,979
hr,0.024,0.144,0.094,0.739,0.47,10,50,50,979
swing%,0.256,0.28,0.248,0.216,0.1,10,50,50,979
chase%,0.471,0.205,0.122,0.202,0.28,10,50,50,979
xwobacon,0.151,0.102,0.104,0.643,0.12,25,50,50,801
la,0.731,0.126,0.046,0.098,0.69,25,50,50,801
ev,0.436,0.127,0.08,0.358,0.03,25,50,50,801
gb/fb,0.325,0.194,0.023,0.458,0.72,25,50,50,801
x_move,0.933,0.0,0.031,0.036,0.14,25,50,50,801
z_move,0.948,0.0,0.0,0.052,0.19,25,50,50,801
extension,0.84,0.11,0.035,0.015,0.01,25,50,50,801
velo,0.992,0.0,0.001,0.007,0.01,25,50,50,801
spin_rate,1.0,0.0,0.0,0.0,0.02,25,50,50,801
whiff,0.771,0.059,0.169,0.0,0.27,25,50,50,801
hh,0.307,0.185,0.164,0.344,0.17,25,50,50,801
ld,0.054,0.095,0.052,0.799,0.18,25,50,50,801
barrel,0.165,0.139,0.095,0.601,0.46,25,50,50,801
weak,0.594,0.162,0.079,0.164,0.25,25,50,50,801
hr,0.084,0.168,0.14,0.608,0.45,25,50,50,801
swing%,0.425,0.2,0.221,0.154,0.08,25,50,50,801
chase%,0.67,0.095,0.119,0.116,0.24,25,50,50,801
xwobacon,0.255,0.105,0.14,0.501,0.11,50,50,50,579
la,0.869,0.016,0.053,0.062,0.6,50,50,50,579
ev,0.572,0.127,0.084,0.217,0.02,50,50,50,579
gb/fb,0.494,0.165,0.02,0.321,0.85,50,50,50,579
x_move,0.95,0.018,0.002,0.029,0.11,50,50,50,579
z_move,0.952,0.0,0.0,0.048,0.15,50,50,50,579
extension,0.897,0.074,0.0,0.03,0.01,50,50,50,579
velo,0.994,0.0,0.0,0.006,0.01,50,50,50,579
spin_rate,0.99,0.0,0.0,0.01,0.02,50,50,50,579
whiff,0.884,0.0,0.116,0.0,0.24,50,50,50,579
hh,0.411,0.15,0.087,0.352,0.17,50,50,50,579
ld,0.092,0.089,0.082,0.737,0.2,50,50,50,579
barrel,0.316,0.072,0.111,0.501,0.45,50,50,50,579
weak,0.774,0.068,0.091,0.067,0.23,50,50,50,579
hr,0.159,0.152,0.108,0.58,0.47,50,50,50,579
swing%,0.595,0.134,0.105,0.166,0.08,50,50,50,579
chase%,0.755,0.062,0.093,0.091,0.21,50,50,50,579
xwobacon,0.286,0.073,0.052,0.589,0.12,75,50,50,379
la,0.895,0.058,0.0,0.047,0.58,75,50,50,379
ev,0.597,0.114,0.105,0.184,0.02,75,50,50,379
gb/fb,0.667,0.063,0.007,0.263,0.89,75,50,50,379
x_move,0.96,0.0,0.006,0.034,0.11,75,50,50,379
z_move,0.947,0.005,0.0,0.048,0.14,75,50,50,379
extension,0.939,0.025,0.0,0.036,0.01,75,50,50,379
velo,0.996,0.0,0.002,0.002,0.01,75,50,50,379
spin_rate,1.0,0.0,0.0,0.0,0.02,75,50,50,379
whiff,0.906,0.0,0.094,0.0,0.21,75,50,50,379
hh,0.413,0.165,0.136,0.286,0.16,75,50,50,379
ld,0.177,0.089,0.042,0.692,0.2,75,50,50,379
barrel,0.398,0.031,0.007,0.564,0.45,75,50,50,379
weak,0.817,0.133,0.024,0.027,0.22,75,50,50,379
hr,0.208,0.106,0.115,0.571,0.47,75,50,50,379
swing%,0.754,0.055,0.073,0.119,0.07,75,50,50,379
chase%,0.814,0.048,0.021,0.118,0.2,75,50,50,379
xwobacon,0.375,0.064,0.061,0.5,0.11,100,50,50,218
la,0.873,0.0,0.0,0.127,0.53,100,50,50,218
ev,0.694,0.073,0.038,0.195,0.02,100,50,50,218
gb/fb,0.915,0.0,0.07,0.016,0.78,100,50,50,218
x_move,0.922,0.0,0.034,0.044,0.11,100,50,50,218
z_move,0.972,0.019,0.0,0.009,0.12,100,50,50,218
extension,0.928,0.035,0.0,0.037,0.01,100,50,50,218
velo,1.0,0.0,0.0,0.0,0.01,100,50,50,218
spin_rate,0.994,0.0,0.0,0.006,0.02,100,50,50,218
whiff,0.849,0.0,0.045,0.107,0.18,100,50,50,218
hh,0.532,0.1,0.111,0.258,0.16,100,50,50,218
ld,0.319,0.121,0.008,0.551,0.19,100,50,50,218
barrel,0.428,0.026,0.0,0.545,0.48,100,50,50,218
weak,0.929,0.014,0.015,0.042,0.18,100,50,50,218
hr,0.215,0.183,0.067,0.535,0.5,100,50,50,218
swing%,0.726,0.098,0.1,0.076,0.07,100,50,50,218
chase%,0.761,0.077,0.103,0.059,0.18,100,50,50,218
xwobacon,0.0,0.216,0.0,0.784,0.3,0,75,50,973
la,0.0,0.457,0.206,0.337,1.42,0,75,50,973
ev,0.0,0.409,0.114,0.477,0.05,0,75,50,973
gb/fb,0.0,0.512,0.136,0.351,1.38,0,75,50,973
x_move,0.0,0.717,0.0,0.283,0.89,0,75,50,973
z_move,0.0,0.36,0.1,0.54,2.01,0,75,50,973
extension,0.0,0.98,0.014,0.006,0.03,0,75,50,973
velo,0.0,0.477,0.392,0.131,0.07,0,75,50,973
spin_rate,0.0,0.438,0.0,0.562,0.19,0,75,50,973
whiff,0.0,0.47,0.295,0.236,0.59,0,75,50,973
hh,0.0,0.325,0.179,0.497,0.38,0,75,50,973
ld,0.0,0.218,0.0,0.782,0.48,0,75,50,973
barrel,0.0,0.218,0.013,0.769,1.15,0,75,50,973
weak,0.0,0.52,0.272,0.208,0.48,0,75,50,973
hr,0.0,0.24,0.073,0.687,1.09,0,75,50,973
swing%,0.0,0.49,0.252,0.258,0.15,0,75,50,973
chase%,0.0,0.516,0.275,0.209,0.43,0,75,50,973
xwobacon,0.062,0.13,0.118,0.691,0.12,10,75,50,865
la,0.532,0.22,0.063,0.185,0.84,10,75,50,865
ev,0.247,0.304,0.116,0.333,0.03,10,75,50,865
gb/fb,0.326,0.451,0.18,0.042,0.82,10,75,50,865
x_move,0.92,0.024,0.015,0.042,0.18,10,75,50,865
z_move,0.932,0.0,0.0,0.068,0.27,10,75,50,865
extension,0.772,0.211,0.012,0.005,0.02,10,75,50,865
velo,0.993,0.0,0.003,0.004,0.01,10,75,50,865
spin_rate,0.996,0.0,0.0,0.004,0.03,10,75,50,865
whiff,0.522,0.239,0.218,0.021,0.34,10,75,50,865
hh,0.163,0.259,0.172,0.406,0.19,10,75,50,865
ld,0.027,0.11,0.067,0.796,0.18,10,75,50,865
barrel,0.086,0.197,0.082,0.635,0.48,10,75,50,865
weak,0.369,0.353,0.129,0.149,0.31,10,75,50,865
hr,0.027,0.164,0.092,0.718,0.47,10,75,50,865
swing%,0.226,0.409,0.177,0.187,0.09,10,75,50,865
chase%,0.473,0.261,0.08,0.186,0.28,10,75,50,865
xwobacon,0.169,0.116,0.091,0.625,0.12,25,75,50,720
la,0.745,0.175,0.008,0.072,0.64,25,75,50,720
ev,0.436,0.196,0.154,0.214,0.02,25,75,50,720
gb/fb,0.319,0.044,0.151,0.486,0.84,25,75,50,720
x_move,0.939,0.0,0.035,0.026,0.16,25,75,50,720
z_move,0.956,0.0,0.0,0.044,0.2,25,75,50,720
extension,0.838,0.133,0.016,0.013,0.01,25,75,50,720
velo,0.988,0.0,0.004,0.008,0.01,25,75,50,720
spin_rate,0.982,0.0,0.018,0.0,0.03,25,75,50,720
whiff,0.792,0.125,0.083,0.0,0.28,25,75,50,720
hh,0.318,0.21,0.178,0.293,0.16,25,75,50,720
ld,0.072,0.087,0.019,0.822,0.19,25,75,50,720
barrel,0.169,0.157,0.115,0.558,0.46,25,75,50,720
weak,0.595,0.212,0.047,0.146,0.25,25,75,50,720
hr,0.091,0.225,0.07,0.614,0.45,25,75,50,720
swing%,0.416,0.295,0.166,0.123,0.08,25,75,50,720
chase%,0.662,0.122,0.097,0.119,0.23,25,75,50,720
xwobacon,0.26,0.114,0.04,0.586,0.12,50,75,50,532
la,0.863,0.086,0.02,0.031,0.57,50,75,50,532
ev,0.51,0.124,0.065,0.301,0.02,50,75,50,532
gb/fb,0.435,0.173,0.055,0.337,0.8,50,75,50,532
x_move,0.953,0.0,0.017,0.03,0.12,50,75,50,532
z_move,0.944,0.0,0.0,0.056,0.18,50,75,50,532
extension,0.892,0.08,0.0,0.029,0.01,50,75,50,532
velo,0.991,0.0,0.0,0.009,0.01,50,75,50,532
spin_rate,1.0,0.0,0.0,0.0,0.02,50,75,50,532
whiff,0.863,0.005,0.12,0.012,0.23,50,75,50,532
hh,0.387,0.207,0.075,0.331,0.16,50,75,50,532
ld,0.096,0.062,0.065,0.777,0.21,50,75,50,532
barrel,0.338,0.086,0.08,0.497,0.45,50,75,50,532
weak,0.779,0.081,0.032,0.108,0.22,50,75,50,532
hr,0.151,0.208,0.087,0.554,0.47,50,75,50,532
swing%,0.551,0.203,0.114,0.132,0.07,50,75,50,532
chase%,0.757,0.129,0.085,0.03,0.21,50,75,50,532
xwobacon,0.293,0.107,0.001,0.6,0.12,75,75,50,354
la,0.867,0.089,0.0,0.043,0.57,75,75,50,354
ev,0.588,0.069,0.098,0.245,0.02,75,75,50,354
gb/fb,0.751,0.111,0.057,0.082,0.84,75,75,50,354
x_move,0.939,0.0,0.03,0.031,0.11,75,75,50,354
z_move,0.96,0.0,0.0,0.04,0.15,75,75,50,354
extension,0.938,0.028,0.0,0.034,0.01,75,75,50,354
velo,0.992,0.0,0.001,0.008,0.01,75,75,50,354
spin_rate,1.0,0.0,0.0,0.0,0.02,75,75,50,354
whiff,0.859,0.034,0.106,0.0,0.21,75,75,50,354
hh,0.436,0.182,0.096,0.285,0.16,75,75,50,354
ld,0.17,0.124,0.0,0.706,0.2,75,75,50,354
barrel,0.428,0.013,0.023,0.536,0.48,75,75,50,354
weak,0.82,0.147,0.0,0.033,0.21,75,75,50,354
hr,0.203,0.179,0.099,0.519,0.47,75,75,50,354
swing%,0.719,0.048,0.121,0.112,0.07,75,75,50,354
chase%,0.807,0.082,0.046,0.064,0.21,75,75,50,354
xwobacon,0.361,0.06,0.038,0.541,0.11,100,75,50,210
la,0.873,0.01,0.0,0.117,0.55,100,75,50,210
ev,0.659,0.097,0.053,0.192,0.02,100,75,50,210
gb/fb,0.77,0.207,0.006,0.017,0.78,100,75,50,210
x_move,0.923,0.0,0.029,0.049,0.11,100,75,50,210
z_move,0.995,0.005,0.0,0.0,0.12,100,75,50,210
extension,0.94,0.029,0.0,0.031,0.01,100,75,50,210
velo,0.996,0.0,0.002,0.002,0.01,100,75,50,210
spin_rate,0.997,0.0,0.0,0.003,0.02,100,75,50,210
whiff,0.848,0.0,0.028,0.125,0.19,100,75,50,210
hh,0.536,0.127,0.076,0.261,0.16,100,75,50,210
ld,0.309,0.131,0.024,0.536,0.19,100,75,50,210
barrel,0.36,0.048,0.027,0.565,0.46,100,75,50,210
weak,0.883,0.021,0.0,0.097,0.17,100,75,50,210
hr,0.213,0.162,0.121,0.503,0.5,100,75,50,210
swing%,0.723,0.09,0.071,0.116,0.07,100,75,50,210
chase%,0.772,0.062,0.15,0.016,0.18,100,75,50,210
xwobacon,0.0,0.184,0.0,0.816,0.29,0,100,50,817
la,0.0,0.439,0.19,0.371,1.47,0,100,50,817
ev,0.0,0.35,0.222,0.428,0.05,0,100,50,817
gb/fb,0.0,0.387,0.316,0.297,1.38,0,100,50,817
x_move,0.0,0.78,0.0,0.22,0.91,0,100,50,817
z_move,0.0,0.327,0.089,0.585,1.92,0,100,50,817
extension,0.0,0.966,0.034,0.0,0.03,0,100,50,817
velo,0.0,0.483,0.332,0.185,0.06,0,100,50,817
spin_rate,0.0,0.502,0.0,0.498,0.19,0,100,50,817
whiff,0.0,0.427,0.289,0.284,0.56,0,100,50,817
hh,0.0,0.325,0.154,0.521,0.38,0,100,50,817
ld,0.0,0.323,0.0,0.677,0.45,0,100,50,817
barrel,0.0,0.226,0.071,0.703,0.99,0,100,50,817
weak,0.0,0.644,0.183,0.174,0.47,0,100,50,817
hr,0.0,0.282,0.093,0.625,1.03,0,100,50,817
swing%,0.0,0.577,0.242,0.181,0.14,0,100,50,817
chase%,0.0,0.443,0.315,0.242,0.42,0,100,50,817
xwobacon,0.076,0.21,0.062,0.652,0.12,10,100,50,742
la,0.566,0.255,0.028,0.151,0.88,10,100,50,742
ev,0.246,0.327,0.11,0.317,0.03,10,100,50,742
gb/fb,0.386,0.251,0.234,0.129,0.79,10,100,50,742
x_move,0.9,0.027,0.011,0.062,0.19,10,100,50,742
z_move,0.932,0.0,0.0,0.068,0.22,10,100,50,742
extension,0.765,0.217,0.012,0.006,0.02,10,100,50,742
velo,0.988,0.004,0.004,0.004,0.01,10,100,50,742
spin_rate,0.992,0.003,0.002,0.003,0.03,10,100,50,742
whiff,0.508,0.249,0.195,0.047,0.35,10,100,50,742
hh,0.15,0.346,0.101,0.404,0.18,10,100,50,742
ld,0.034,0.141,0.071,0.754,0.18,10,100,50,742
barrel,0.086,0.209,0.087,0.619,0.47,10,100,50,742
weak,0.396,0.347,0.168,0.089,0.31,10,100,50,742
hr,0.023,0.251,0.12,0.607,0.46,10,100,50,742
swing%,0.222,0.432,0.149,0.197,0.09,10,100,50,742
chase%,0.442,0.251,0.075,0.231,0.27,10,100,50,742
xwobacon,0.172,0.143,0.095,0.589,0.11,25,100,50,632
la,0.756,0.2,0.0,0.044,0.62,25,100,50,632
ev,0.439,0.165,0.113,0.283,0.02,25,100,50,632
gb/fb,0.297,0.109,0.174,0.42,0.77,25,100,50,632
x_move,0.944,0.0,0.019,0.037,0.14,25,100,50,632
z_move,0.944,0.0,0.0,0.056,0.2,25,100,50,632
extension,0.843,0.137,0.0,0.019,0.01,25,100,50,632
velo,0.996,0.0,0.001,0.002,0.01,25,100,50,632
spin_rate,0.995,0.0,0.0,0.005,0.02,25,100,50,632
whiff,0.743,0.135,0.121,0.0,0.27,25,100,50,632
hh,0.322,0.203,0.179,0.296,0.16,25,100,50,632
ld,0.063,0.163,0.021,0.753,0.19,25,100,50,632
barrel,0.178,0.186,0.101,0.536,0.44,25,100,50,632
weak,0.598,0.244,0.044,0.114,0.24,25,100,50,632
hr,0.076,0.245,0.101,0.578,0.45,25,100,50,632
swing%,0.388,0.394,0.109,0.11,0.08,25,100,50,632
chase%,0.646,0.142,0.108,0.104,0.24,25,100,50,632
xwobacon,0.25,0.134,0.062,0.555,0.11,50,100,50,466
la,0.871,0.034,0.0,0.096,0.59,50,100,50,466
ev,0.513,0.167,0.105,0.216,0.02,50,100,50,466
gb/fb,0.451,0.007,0.047,0.494,0.7,50,100,50,466
x_move,0.932,0.0,0.021,0.047,0.12,50,100,50,466
z_move,0.953,0.0,0.007,0.041,0.17,50,100,50,466
extension,0.888,0.078,0.0,0.034,0.01,50,100,50,466
velo,0.992,0.0,0.0,0.008,0.01,50,100,50,466
spin_rate,0.999,0.0,0.0,0.001,0.02,50,100,50,466
whiff,0.832,0.073,0.094,0.0,0.23,50,100,50,466
hh,0.393,0.239,0.083,0.285,0.16,50,100,50,466
ld,0.084,0.146,0.03,0.74,0.2,50,100,50,466
barrel,0.299,0.182,0.054,0.465,0.43,50,100,50,466
weak,0.755,0.105,0.028,0.113,0.22,50,100,50,466
hr,0.154,0.21,0.117,0.519,0.46,50,100,50,466
swing%,0.573,0.212,0.092,0.123,0.07,50,100,50,466
chase%,0.696,0.121,0.107,0.076,0.21,50,100,50,466
xwobacon,0.285,0.068,0.087,0.56,0.12,75,100,50,315
la,0.854,0.072,0.0,0.073,0.57,75,100,50,315
ev,0.535,0.063,0.063,0.339,0.02,75,100,50,315
gb/fb,0.679,0.006,0.034,0.282,0.76,75,100,50,315
x_move,0.944,0.0,0.015,0.041,0.11,75,100,50,315
z_move,0.976,0.0,0.0,0.024,0.15,75,100,50,315
extension,0.954,0.005,0.0,0.041,0.01,75,100,50,315
velo,0.991,0.0,0.003,0.006,0.01,75,100,50,315
spin_rate,1.0,0.0,0.0,0.0,0.02,75,100,50,315
whiff,0.932,0.0,0.068,0.0,0.21,75,100,50,315
hh,0.397,0.219,0.096,0.288,0.16,75,100,50,315
ld,0.155,0.09,0.056,0.699,0.2,75,100,50,315
barrel,0.402,0.103,0.115,0.38,0.44,75,100,50,315
weak,0.784,0.119,0.005,0.092,0.2,75,100,50,315
hr,0.189,0.187,0.1,0.525,0.48,75,100,50,315
swing%,0.717,0.089,0.106,0.088,0.07,75,100,50,315
chase%,0.781,0.07,0.064,0.085,0.2,75,100,50,315
xwobacon,0.391,0.009,0.056,0.544,0.11,100,100,50,192
la,0.866,0.048,0.0,0.086,0.51,100,100,50,192
ev,0.641,0.112,0.046,0.201,0.02,100,100,50,192
gb/fb,0.861,0.0,0.034,0.105,0.87,100,100,50,192
x_move,0.926,0.0,0.029,0.045,0.11,100,100,50,192
z_move,0.963,0.023,0.01,0.004,0.12,100,100,50,192
extension,0.957,0.005,0.0,0.038,0.01,100,100,50,192
velo,1.0,0.0,0.0,0.0,0.01,100,100,50,192
spin_rate,1.0,0.0,0.0,0.0,0.02,100,100,50,192
whiff,0.858,0.0,0.065,0.076,0.2,100,100,50,192
hh,0.481,0.232,0.051,0.236,0.15,100,100,50,192
ld,0.304,0.088,0.0,0.608,0.2,100,100,50,192
barrel,0.415,0.037,0.0,0.548,0.45,100,100,50,192
weak,0.871,0.012,0.013,0.104,0.18,100,100,50,192
hr,0.196,0.127,0.151,0.527,0.51,100,100,50,192
swing%,0.711,0.115,0.104,0.071,0.07,100,100,50,192
chase%,0.798,0.023,0.101,0.078,0.18,100,100,50,192
xwobacon,0.0,0.038,0.102,0.86,0.31,0,10,75,1056
la,0.0,0.105,0.514,0.381,1.45,0,10,75,1056
ev,0.0,0.042,0.454,0.504,0.05,0,10,75,1056
gb/fb,0.0,0.072,0.571,0.357,1.26,0,10,75,1056
x_move,0.0,0.734,0.085,0.181,0.88,0,10,75,1056
z_move,0.0,0.331,0.0,0.669,2.16,0,10,75,1056
extension,0.0,0.846,0.134,0.02,0.03,0,10,75,1056
velo,0.0,0.496,0.475,0.029,0.07,0,10,75,1056
spin_rate,0.0,0.517,0.0,0.483,0.21,0,10,75,1056
whiff,0.0,0.201,0.473,0.326,0.61,0,10,75,1056
hh,0.0,0.078,0.347,0.575,0.42,0,10,75,1056
ld,0.0,0.011,0.0,0.989,0.49,0,10,75,1056
barrel,0.0,0.046,0.039,0.916,1.16,0,10,75,1056
weak,0.0,0.102,0.569,0.328,0.5,0,10,75,1056
hr,0.0,0.063,0.083,0.854,1.12,0,10,75,1056
swing%,0.0,0.116,0.556,0.328,0.16,0,10,75,1056
chase%,0.0,0.162,0.447,0.391,0.45,0,10,75,1056
xwobacon,0.07,0.023,0.138,0.768,0.12,10,10,75,926
la,0.575,0.033,0.181,0.21,0.85,10,10,75,926
ev,0.256,0.082,0.258,0.403,0.03,10,10,75,926
gb/fb,0.356,0.0,0.311,0.333,0.76,10,10,75,926
x_move,0.926,0.032,0.01,0.033,0.16,10,10,75,926
z_move,0.927,0.0,0.0,0.073,0.19,10,10,75,926
extension,0.763,0.176,0.05,0.01,0.02,10,10,75,926
velo,0.993,0.0,0.004,0.004,0.01,10,10,75,926
spin_rate,0.994,0.003,0.0,0.002,0.03,10,10,75,926
whiff,0.534,0.018,0.278,0.169,0.36,10,10,75,926
hh,0.192,0.062,0.272,0.474,0.19,10,10,75,926
ld,0.031,0.006,0.116,0.847,0.18,10,10,75,926
barrel,0.097,0.028,0.144,0.731,0.48,10,10,75,926
weak,0.426,0.065,0.282,0.227,0.31,10,10,75,926
hr,0.038,0.035,0.184,0.743,0.48,10,10,75,926
swing%,0.265,0.088,0.424,0.224,0.1,10,10,75,926
chase%,0.478,0.073,0.217,0.232,0.28,10,10,75,926
xwobacon,0.147,0.0,0.141,0.712,0.11,25,10,75,742
la,0.764,0.012,0.102,0.122,0.68,25,10,75,742
ev,0.427,0.018,0.214,0.341,0.02,25,10,75,742
gb/fb,0.386,0.058,0.089,0.466,0.86,25,10,75,742
x_move,0.94,0.0,0.057,0.004,0.15,25,10,75,742
z_move,0.945,0.0,0.0,0.055,0.18,25,10,75,742
extension,0.843,0.097,0.042,0.017,0.01,25,10,75,742
velo,0.99,0.0,0.003,0.007,0.01,25,10,75,742
spin_rate,0.999,0.0,0.0,0.001,0.02,25,10,75,742
whiff,0.759,0.018,0.196,0.027,0.29,25,10,75,742
hh,0.289,0.023,0.286,0.402,0.17,25,10,75,742
ld,0.056,0.001,0.108,0.834,0.18,25,10,75,742
barrel,0.18,0.022,0.124,0.675,0.45,25,10,75,742
weak,0.645,0.006,0.182,0.167,0.26,25,10,75,742
hr,0.105,0.015,0.164,0.716,0.47,25,10,75,742
swing%,0.448,0.078,0.302,0.172,0.08,25,10,75,742
chase%,0.693,0.04,0.137,0.13,0.24,25,10,75,742
xwobacon,0.242,0.014,0.157,0.587,0.11,50,10,75,547
la,0.834,0.039,0.014,0.113,0.61,50,10,75,547
ev,0.517,0.048,0.189,0.246,0.02,50,10,75,547
gb/fb,0.466,0.025,0.133,0.376,0.72,50,10,75,547
x_move,0.959,0.006,0.013,0.021,0.11,50,10,75,547
z_move,0.945,0.0,0.0,0.055,0.15,50,10,75,547
extension,0.89,0.064,0.013,0.034,0.01,50,10,75,547
velo,0.995,0.0,0.0,0.005,0.01,50,10,75,547
spin_rate,0.998,0.0,0.0,0.002,0.02,50,10,75,547
whiff,0.832,0.045,0.123,0.0,0.24,50,10,75,547
hh,0.395,0.057,0.161,0.387,0.16,50,10,75,547
ld,0.08,0.0,0.081,0.839,0.2,50,10,75,547
barrel,0.334,0.009,0.137,0.519,0.44,50,10,75,547
weak,0.787,0.038,0.063,0.112,0.23,50,10,75,547
hr,0.17,0.038,0.234,0.558,0.46,50,10,75,547
swing%,0.597,0.061,0.201,0.14,0.08,50,10,75,547
chase%,0.763,0.04,0.127,0.07,0.21,50,10,75,547
xwobacon,0.264,0.039,0.055,0.642,0.12,75,10,75,361
la,0.879,0.027,0.018,0.076,0.58,75,10,75,361
ev,0.615,0.05,0.116,0.219,0.02,75,10,75,361
gb/fb,0.692,0.0,0.271,0.037,0.74,75,10,75,361
x_move,0.974,0.0,0.006,0.02,0.11,75,10,75,361
z_move,0.944,0.002,0.0,0.054,0.13,75,10,75,361
