diff_threshold,pred_hr_threshold,train_picks,train_win_rate,train_profit,train_roi,num_picks,win_rate,total_profit,roi,sum_profit,sum_picks,weight,both_roi,decision
0.045,0.12,361,23.82,747.11,20.7,537,18.06,-501.69,-9.34,245.42,898,30,2.732962138,
0.03,0.18,306,27.45,478.23,15.63,499,23.65,-260.08,-5.21,218.15,805,25,2.709937888,
0.055,0.12,241,21.16,432.16,17.93,391,17.65,-261.5,-6.69,170.66,632,90,2.700316456,
0.025,0.2,253,29.25,413.66,16.35,427,24.59,-231.17,-5.41,182.49,680,30,2.683676471,
0.02,0.12,599,24.21,765.21,12.77,935,21.6,-359.9,-3.85,405.31,1534,10,2.642177314,
0.05,0.1,380,18.42,317.04,8.34,596,16.78,-59.76,-1,257.28,976,70,2.636065574,
0.02,0.25,220,29.09,-100.74,-4.58,338,32.54,245.4,7.26,144.66,558,10,2.592473118,
0.02,0.25,192,27.6,-129.19,-6.73,312,32.37,254.97,8.17,125.78,504,15,2.495634921,
0.03,0.2,227,31.28,361.41,15.92,380,27.11,-214.09,-5.63,147.32,607,10,2.427018122,
0.015,0.2,331,27.49,402.4,12.16,534,24.16,-194.19,-3.64,208.21,865,50,2.407052023,
0.015,0.2,350,27.43,397.92,11.37,581,24.61,-177.46,-3.05,220.46,931,35,2.367991407,
0.045,0.12,400,21.75,635.7,15.89,588,17.69,-405.16,-6.89,230.54,988,45,2.33340081,
0.055,0.08,321,17.13,12.86,0.4,525,16.57,181.42,3.46,194.28,846,95,2.296453901,
0.04,0.18,206,28.64,483.7,23.48,306,21.24,-367.2,-12,116.5,512,70,2.275390625,
0.04,0.18,210,29.05,525.77,25.04,313,21.09,-407.17,-13.01,118.6,523,60,2.267686424,
0.045,0.12,406,21.43,575.7,14.18,596,17.79,-352.29,-5.91,223.41,1002,50,2.229640719,
0.025,0.2,280,28.21,252.32,9.01,484,26.65,-86.78,-1.79,165.54,764,15,2.166753927,
0.015,0.22,253,28.46,119.52,4.72,400,28,20.59,0.51,140.11,653,25,2.145635528,
0.03,0.08,612,20.59,426.59,6.97,961,18.83,-99.46,-1.03,327.13,1573,15,2.079656707,
0.05,0.1,364,18.68,134.48,3.69,552,17.57,55.63,1.01,190.11,916,50,2.075436681,
0.025,0.2,269,29,409.71,15.23,455,24.84,-260.07,-5.72,149.64,724,25,2.066850829,
0.055,0.1,293,18.43,187.6,6.4,470,17.02,-31.83,-0.68,155.77,763,90,2.041546527,
0.015,0.25,195,26.67,-179.65,-9.21,311,32.48,282.9,9.1,103.25,506,20,2.040513834,
0.045,0.12,407,21.62,643.82,15.82,596,17.28,-443.29,-7.44,200.53,1003,55,1.999302094,
0.04,0.08,516,20.16,322.25,6.25,793,17.65,-63.33,-0.8,258.92,1309,25,1.977998472,
0.055,0.12,235,20.85,254.62,10.83,388,18.56,-131.48,-3.39,123.14,623,65,1.976565008,
0.03,0.18,303,27.39,500.18,16.51,479,22.76,-348.75,-7.28,151.43,782,35,1.936445013,
0.015,0.18,496,27.82,519.9,10.48,758,25.2,-277.39,-3.66,242.51,1254,10,1.933891547,
0.045,0.12,379,22.96,727.53,19.2,562,17.62,-549.15,-9.77,178.38,941,35,1.895642933,
0.02,0.2,328,29.57,327.69,9.99,535,26.92,-164.74,-3.08,162.95,863,10,1.888180765,
0.04,0.18,212,28.77,505.77,23.86,319,21.32,-407.2,-12.76,98.57,531,55,1.856308851,
0.015,0.2,317,27.76,432.43,13.64,504,23.61,-281.58,-5.59,150.85,821,60,1.837393423,
0.05,0.1,382,18.32,297.04,7.78,599,16.53,-117.77,-1.97,179.27,981,75,1.827420999,
0.04,0.18,213,28.64,495.77,23.28,322,21.43,-402.23,-12.49,93.54,535,50,1.748411215,
0.02,0.2,280,28.21,387.54,13.84,448,23.88,-261.46,-5.84,126.08,728,50,1.731868132,
0.045,0.08,498,19.08,313.49,6.29,754,16.45,-98.55,-1.31,214.94,1252,40,1.716773163,
0.02,0.2,227,29.52,484.34,21.34,384,22.4,-380.43,-9.91,103.91,611,95,1.700654664,
0.04,0.1,526,20.15,480.07,9.13,786,17.3,-258.74,-3.29,221.33,1312,30,1.686966463,
0.015,0.2,327,27.22,361.42,11.05,514,23.93,-226.55,-4.41,134.87,841,55,1.603686088,
0.045,0.08,469,20.04,480.81,10.25,716,16.34,-290.97,-4.06,189.84,1185,35,1.602025316,
0.04,0.18,204,27.94,448.76,22,300,21,-369.14,-12.3,79.62,504,75,1.579761905,
0.02,0.2,256,28.91,448,17.5,419,23.15,-343.39,-8.2,104.61,675,65,1.549777778,
0.05,0.12,308,21.1,419.04,13.61,467,17.99,-301.76,-6.46,117.28,775,50,1.513290323,
0.02,0.2,328,28.05,384.97,11.74,534,24.72,-255.15,-4.78,129.82,862,25,1.506032483,
0.02,0.2,290,28.28,407.97,14.07,455,23.74,-302.47,-6.65,105.5,745,45,1.416107383,
0.02,0.2,233,28.76,424.34,18.21,393,22.9,-337.87,-8.6,86.47,626,90,1.381309904,
0.05,0.1,391,18.16,308.11,7.88,605,16.2,-171.04,-2.83,137.07,996,90,1.376204819,
0.045,0.1,413,21.55,502.55,12.17,615,17.4,-362.02,-5.89,140.53,1028,30,1.367023346,
0.055,0.12,236,20.76,244.62,10.37,387,18.35,-159.5,-4.12,85.12,623,70,1.366292135,
0.04,0.18,217,29.03,513.75,23.68,326,21.17,-442.23,-13.57,71.52,543,45,1.317127072,
0.015,0.2,337,27.3,377.37,11.2,549,23.86,-265.84,-4.84,111.53,886,45,1.258803612,
0.02,0.08,712,21.49,413.49,5.81,1119,19.84,-200.69,-1.79,212.8,1831,10,1.162206445,
0.05,0.12,317,20.82,447.02,14.1,478,17.57,-355.09,-7.43,91.93,795,60,1.156352201,
0.045,0.1,485,19.18,333.72,6.88,718,16.85,-195.4,-2.72,138.32,1203,50,1.149792186,
0.015,0.2,303,27.72,417.88,13.79,483,23.19,-329.09,-6.81,88.79,786,75,1.129643766,
0.015,0.2,371,27.49,423.84,11.42,604,24.17,-313.86,-5.2,109.98,975,30,1.128,
0.02,0.2,244,28.28,375.33,15.38,408,23.28,-303.43,-7.44,71.9,652,75,1.102760736,
0.015,0.2,342,27.49,406.96,11.9,566,23.85,-308.34,-5.45,98.62,908,40,1.086123348,
0.04,0.18,208,28.37,463.7,22.29,313,21.09,-407.17,-13.01,56.53,521,65,1.085028791,
0.05,0.12,319,20.69,452.44,14.18,485,17.53,-367.62,-7.58,84.82,804,65,1.054975124,
0.02,0.22,267,29.96,115.77,4.34,427,29.04,-42.95,-1.01,72.82,694,10,1.049279539,
