date,home,away,over,under,player_name,batterid,team,pitcher,hr,pa,stand,p_throws
2024-04-01,Orioles,Royals,0.105,0.941,Austin Hays,669720,Orioles,608379,0,4,R,R
2024-04-01,Orioles,Royals,0.167,0.875,Gunnar Henderson,683002,Orioles,608379,0,4,L,R
2024-04-01,Orioles,Royals,0.118,0.923,Ryan Mountcastle,663624,Orioles,608379,1,4,R,R
2024-04-01,Orioles,Royals,0.118,0.923,Cedric Mullins,656775,Orioles,608379,0,4,L,R
2024-04-01,Orioles,Royals,0.125,0.917,Adley Rutschman,668939,Orioles,608379,0,4,L,R
2024-04-01,Orioles,Royals,0.182,0.867,Anthony Santander,623993,Orioles,608379,0,4,L,R
2024-04-01,Orioles,Royals,0.087,0.962,Ramon Urias,602104,Orioles,608379,0,3,R,R
2024-04-01,Orioles,Royals,0.108,0.933,Jordan Westburg,676059,Orioles,608379,1,4,R,R
2024-04-01,Orioles,Royals,0.118,0.923,Nelson Velazquez,676369,Royals,665152,0,4,R,R
2024-04-01,Orioles,Royals,0.071,0.968,Maikel Garcia,672580,Royals,665152,0,5,R,R
2024-04-01,Orioles,Royals,0.08,0.962,Kyle Isbel,664728,Royals,665152,0,4,L,R
2024-04-01,Orioles,Royals,0.154,0.889,MJ Melendez,669004,Royals,665152,0,4,L,R
2024-04-01,Orioles,Royals,0.111,0.933,Ryan O'Hearn,656811,Orioles,608379,0,3,L,R
2024-04-01,Orioles,Royals,0.129,0.917,Vinnie Pasquantino,686469,Royals,665152,0,4,L,R
2024-04-01,Orioles,Royals,0.133,0.909,Salvador Perez,521692,Royals,665152,1,4,R,R
2024-04-01,Orioles,Royals,0.111,0.933,Bobby Witt,677951,Royals,665152,1,5,R,R
2024-04-01,Orioles,Royals,0.103,0.941,Hunter Renfroe,592669,Royals,665152,0,4,R,R
2024-04-01,Orioles,Royals,0.067,0.98,Adam Frazier,624428,Royals,665152,0,2,L,R
2024-04-01,White Sox,Braves,0.286,0.75,Ronald Acuna,660670,Braves,623167,0,5,R,R
2024-04-01,White Sox,Braves,0.217,0.833,Ozzie Albies,645277,Braves,623167,0,5,L,R
2024-04-01,White Sox,Braves,0.143,0.9,Orlando Arcia,606115,Braves,623167,0,4,R,R
2024-04-01,White Sox,Braves,0.19,0.857,Travis d'Arnaud,518595,Braves,623167,0,4,R,R
2024-04-01,White Sox,Braves,0.095,0.952,Dominic Fletcher,666150,White Sox,450203,0,3,L,R
2024-04-01,White Sox,Braves,0.167,0.875,Michael Harris II,671739,Braves,623167,0,4,L,R
2024-04-01,White Sox,Braves,0.27,0.778,Matt Olson,621566,Braves,623167,0,5,L,R
2024-04-01,White Sox,Braves,0.286,0.778,Marcell Ozuna,542303,Braves,623167,0,4,R,R
2024-04-01,White Sox,Braves,0.263,0.778,Austin Riley,663586,Braves,623167,1,5,R,R
2024-04-01,White Sox,Braves,0.111,0.933,Yoan Moncada,660162,White Sox,450203,0,4,L,R
2024-04-01,White Sox,Braves,0.19,0.857,Luis Robert,673357,White Sox,450203,0,4,R,R
2024-04-01,White Sox,Braves,0.121,0.923,Gavin Sheets,657757,White Sox,450203,0,3,L,R
2024-04-01,White Sox,Braves,0.143,0.9,Andrew Vaughn,683734,White Sox,450203,0,3,R,R
2024-04-01,White Sox,Braves,0.054,0.99,Nicky Lopez,670032,White Sox,450203,0,3,L,R
2024-04-01,White Sox,Braves,0.1,0.941,Martin Maldonado,455117,White Sox,450203,0,3,R,R
2024-04-01,White Sox,Braves,0.083,0.962,Andrew Benintendi,643217,White Sox,450203,0,4,L,R
2024-04-01,White Sox,Braves,0.114,0.933,Paul DeJong,657557,White Sox,450203,0,3,R,R
2024-04-01,White Sox,Braves,0.154,0.889,Jarred Kelenic,672284,Braves,623167,0,4,L,R
2024-04-01,Astros,Blue Jays,0.217,0.833,Daulton Varsho,662139,Blue Jays,669854,0,3,L,R
2024-04-01,Astros,Blue Jays,0.167,0.875,Jose Abreu,547989,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.087,0.962,Ernie Clement,676391,Blue Jays,669854,0,3,R,R
2024-04-01,Astros,Blue Jays,0.182,0.867,Jose Altuve,514888,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.333,0.714,Yordan Alvarez,670541,Astros,670102,0,4,L,R
2024-04-01,Astros,Blue Jays,0.167,0.882,Alex Bregman,608324,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.211,0.833,Yainer Diaz,673237,Astros,670102,1,4,R,R
2024-04-01,Astros,Blue Jays,0.148,0.889,Chas McCormick,676801,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.118,0.923,Jake Meyers,676694,Astros,670102,0,4,R,R
2024-04-01,Astros,Blue Jays,0.125,0.917,Jeremy Pena,665161,Astros,670102,1,4,R,R
2024-04-01,Astros,Blue Jays,0.211,0.833,Kyle Tucker,663656,Astros,670102,1,4,L,R
2024-04-01,Astros,Blue Jays,0.174,0.875,Justin Turner,457759,Blue Jays,669854,0,3,R,R
2024-04-01,Astros,Blue Jays,0.087,0.962,Isiah Kiner-Falefa,643396,Blue Jays,669854,0,3,R,R
2024-04-01,Astros,Blue Jays,0.133,0.917,Kevin Kiermaier,595281,Blue Jays,669854,0,3,L,R
2024-04-01,Astros,Blue Jays,0.114,0.933,Cavan Biggio,624415,Blue Jays,669854,0,3,L,R
2024-04-01,Astros,Blue Jays,0.227,0.818,Vladimir Guerrero,665489,Blue Jays,669854,0,4,R,R
2024-04-01,Astros,Blue Jays,0.129,0.917,Alejandro Kirk,672386,Blue Jays,669854,0,3,R,R
2024-04-01,Astros,Blue Jays,0.16,0.882,George Springer,543807,Blue Jays,669854,0,4,R,R
2024-04-01,Cubs,Rockies,0.114,0.933,Dansby Swanson,621020,Cubs,641712,0,4,R,R
2024-04-01,Cubs,Rockies,0.08,0.968,Yan Gomes,543228,Cubs,641712,0,3,R,R
2024-04-01,Cubs,Rockies,0.111,0.933,Ian Happ,664023,Cubs,641712,0,4,L,R
2024-04-01,Cubs,Rockies,0.061,0.99,Nico Hoerner,663538,Cubs,641712,0,4,R,R
2024-04-01,Cubs,Rockies,0.133,0.909,Christopher Morel,666624,Cubs,641712,0,3,R,R
2024-04-01,Cubs,Rockies,0.095,0.952,Seiya Suzuki,673548,Cubs,641712,0,4,R,R
2024-04-01,Cubs,Rockies,0.08,0.962,Charlie Blackmon,453568,Rockies,684007,0,4,L,L
2024-04-01,Cubs,Rockies,0.138,0.909,Kris Bryant,592178,Rockies,684007,0,4,R,L
2024-04-01,Cubs,Rockies,0.114,0.933,Elias Diaz,553869,Rockies,684007,0,3,R,L
2024-04-01,Cubs,Rockies,0.087,0.962,Brenton Doyle,686668,Rockies,684007,0,3,R,L
2024-04-01,Cubs,Rockies,0.1,0.952,Nolan Jones,666134,Rockies,684007,0,4,L,L
2024-04-01,Cubs,Rockies,0.087,0.962,Ryan McMahon,641857,Rockies,684007,0,4,L,L
2024-04-01,Cubs,Rockies,0.111,0.933,Elehuris Montero,660707,Rockies,684007,0,3,R,L
2024-04-01,Cubs,Rockies,0.091,0.952,Brendan Rodgers,663898,Rockies,684007,0,4,R,L
2024-04-01,Cubs,Rockies,0.095,0.952,Ezequiel Tovar,678662,Rockies,684007,0,3,R,L
2024-04-01,Cubs,Rockies,0.118,0.923,Cody Bellinger,641355,Cubs,641712,0,4,L,R
2024-04-01,Cubs,Rockies,0.105,0.941,Michael Busch,683737,Cubs,641712,0,4,L,R
2024-04-01,Cubs,Rockies,0.065,0.98,Mike Tauchman,643565,Cubs,641712,0,4,L,R
2024-04-01,Diamondbacks,Yankees,0.133,0.909,Corbin Carroll,682998,Diamondbacks,661563,0,4,L,R
2024-04-01,Diamondbacks,Yankees,0.174,0.867,Ketel Marte,606466,Diamondbacks,661563,0,5,L,R
2024-04-01,Diamondbacks,Yankees,0.067,0.98,Jake McCarthy,664983,Diamondbacks,661563,0,3,L,R
2024-04-01,Diamondbacks,Yankees,0.057,0.99,Geraldo Perdomo,672695,Diamondbacks,661563,0,4,L,R
2024-04-01,Diamondbacks,Yankees,0.182,0.867,Christian Walker,572233,Diamondbacks,661563,0,4,R,R
2024-04-01,Diamondbacks,Yankees,0.121,0.923,Alex Verdugo,657077,Yankees,669194,0,4,L,R
2024-04-01,Diamondbacks,Yankees,0.103,0.941,Oswaldo Cabrera,665828,Yankees,669194,0,4,L,R
2024-04-01,Diamondbacks,Yankees,0.37,0.677,Aaron Judge,592450,Yankees,669194,0,5,R,R
2024-04-01,Diamondbacks,Yankees,0.174,0.867,Anthony Rizzo,519203,Yankees,669194,0,4,L,R
2024-04-01,Diamondbacks,Yankees,0.244,0.8,Giancarlo Stanton,519317,Yankees,669194,0,4,R,R
2024-04-01,Diamondbacks,Yankees,0.211,0.833,Gleyber Torres,650402,Yankees,669194,0,5,R,R
2024-04-01,Diamondbacks,Yankees,0.16,0.882,Anthony Volpe,683011,Yankees,669194,0,4,R,R
2024-04-01,Diamondbacks,Yankees,0.167,0.875,Austin Wells,669224,Yankees,669194,0,4,L,R
2024-04-01,Diamondbacks,Yankees,0.2,0.846,Joc Pederson,592626,Diamondbacks,661563,0,4,L,R
2024-04-01,Diamondbacks,Yankees,0.154,0.889,Eugenio Suarez,553993,Diamondbacks,661563,0,4,R,R
2024-04-01,Diamondbacks,Yankees,0.154,0.889,Lourdes Gurriel,666971,Diamondbacks,661563,0,4,R,R
2024-04-01,Diamondbacks,Yankees,0.091,0.952,Gabriel Moreno,672515,Diamondbacks,661563,0,4,R,R
2024-04-01,Diamondbacks,Yankees,0.211,0.833,Juan Soto,665742,Yankees,669194,0,5,L,R
2024-04-01,Athletics,Red Sox,0.148,0.9,Triston Casas,671213,Red Sox,671212,0,4,L,R
2024-04-01,Athletics,Red Sox,0.227,0.818,Rafael Devers,646240,Red Sox,671212,0,5,L,R
2024-04-01,Athletics,Red Sox,0.148,0.9,Jarren Duran,680776,Red Sox,671212,0,5,L,R
2024-04-01,Athletics,Red Sox,0.067,0.98,Reese McGuire,624512,Red Sox,671212,0,4,L,R
2024-04-01,Athletics,Red Sox,0.105,0.941,Ceddanne Rafaela,678882,Red Sox,671212,0,5,R,R
2024-04-01,Athletics,Red Sox,0.143,0.9,Trevor Story,596115,Red Sox,671212,0,5,R,R
2024-04-01,Athletics,Red Sox,0.133,0.917,Enmanuel Valdez,665839,Red Sox,671212,0,5,L,R
2024-04-01,Athletics,Red Sox,0.133,0.909,JJ Bleday,668709,Athletics,656557,0,3,L,R
2024-04-01,Athletics,Red Sox,0.129,0.917,Ryan Noda,676116,Athletics,656557,0,4,L,R
2024-04-01,Athletics,Red Sox,0.16,0.882,Seth Brown,664913,Athletics,656557,0,4,L,R
2024-04-01,Athletics,Red Sox,0.108,0.933,Lawrence Butler,671732,Athletics,656557,0,3,L,R
2024-04-01,Athletics,Red Sox,0.118,0.923,Zack Gelof,680869,Athletics,656557,0,4,R,R
2024-04-01,Athletics,Red Sox,0.143,0.9,Shea Langeliers,669127,Athletics,656557,0,3,R,R
2024-04-01,Athletics,Red Sox,0.129,0.917,Brent Rooker,667670,Athletics,656557,0,3,R,R
2024-04-01,Athletics,Red Sox,0.114,0.933,Abraham Toro,647351,Athletics,656557,0,3,L,R
2024-04-01,Athletics,Red Sox,0.105,0.941,Masataka Yoshida,807799,Red Sox,671212,0,5,L,R
2024-04-01,Mariners,Guardians,0.2,0.846,Dominic Canzone,686527,Mariners,663474,1,4,L,R
2024-04-01,Mariners,Guardians,0.087,0.962,Will Brennan,686823,Guardians,676106,0,2,L,R
2024-04-01,Mariners,Guardians,0.083,0.962,Tyler Freeman,671289,Guardians,676106,1,4,R,R
2024-04-01,Mariners,Guardians,0.143,0.9,Andres Gimenez,665926,Guardians,676106,0,4,L,R
2024-04-01,Mariners,Guardians,0.08,0.962,Steven Kwan,680757,Guardians,676106,0,4,L,R
2024-04-01,Mariners,Guardians,0.167,0.875,Bo Naylor,666310,Guardians,676106,0,4,L,R
2024-04-01,Mariners,Guardians,0.167,0.875,Josh Naylor,647304,Guardians,676106,1,4,L,R
2024-04-01,Mariners,Guardians,0.182,0.867,Jose Ramirez,608070,Guardians,676106,0,4,L,R
2024-04-01,Mariners,Guardians,0.105,0.941,Brayan Rocchio,677587,Guardians,676106,0,4,L,R
2024-04-01,Mariners,Guardians,0.238,0.8,Jorge Polanco,593871,Mariners,663474,0,4,L,R
2024-04-01,Mariners,Guardians,0.133,0.909,Ramon Laureano,657656,Guardians,676106,0,4,R,R
2024-04-01,Mariners,Guardians,0.148,0.9,J.P. Crawford,641487,Mariners,663474,0,4,L,R
2024-04-01,Mariners,Guardians,0.16,0.882,Ty France,664034,Mariners,663474,0,4,R,R
2024-04-01,Mariners,Guardians,0.222,0.818,Mitch Haniger,571745,Mariners,663474,0,4,R,R
2024-04-01,Mariners,Guardians,0.231,0.818,Cal Raleigh,663728,Mariners,663474,0,4,L,R
2024-04-01,Mariners,Guardians,0.286,0.75,Julio Rodriguez,677594,Mariners,663474,0,4,R,R
2024-04-01,Mariners,Guardians,0.235,0.818,Mitch Garver,641598,Mariners,663474,0,4,R,R
2024-04-01,Marlins,Angels,0.077,0.968,Tim Anderson,641313,Marlins,681217,0,4,R,R
2024-04-01,Marlins,Angels,0.182,0.867,Jake Burger,669394,Marlins,681217,0,5,R,R
2024-04-01,Marlins,Angels,0.148,0.9,Brandon Drury,592273,Angels,676974,0,4,R,R
2024-04-01,Marlins,Angels,0.138,0.909,Bryan De La Cruz,650559,Marlins,681217,0,4,R,R
2024-04-01,Marlins,Angels,0.114,0.933,Zach Neto,687263,Angels,676974,0,4,R,R
2024-04-01,Marlins,Angels,0.129,0.917,Anthony Rendon,543685,Angels,676974,0,6,R,R
2024-04-01,Marlins,Angels,0.118,0.923,Matt Thaiss,642136,Angels,676974,0,2,L,R
2024-04-01,Marlins,Angels,0.244,0.8,Mike Trout,545361,Angels,676974,1,5,R,R
2024-04-01,Marlins,Angels,0.118,0.923,Jesus Sanchez,660821,Marlins,681217,0,4,L,R
2024-04-01,Marlins,Angels,0.16,0.882,Taylor Ward,621493,Angels,676974,0,4,R,R
2024-04-01,Marlins,Angels,0.077,0.968,Luis Arraez,650333,Marlins,681217,0,5,L,R
2024-04-01,Marlins,Angels,0.108,0.933,Nick Gordon,624503,Marlins,681217,0,4,L,R
2024-04-01,Marlins,Angels,0.111,0.933,Aaron Hicks,543305,Angels,676974,0,4,L,R
2024-04-01,Marlins,Angels,0.148,0.9,Mickey Moniak,666160,Angels,676974,0,2,L,R
2024-04-01,Marlins,Angels,0.114,0.933,Christian Bethancourt,542194,Marlins,681217,0,3,R,R
2024-04-01,Marlins,Angels,0.16,0.882,Josh Bell,605137,Marlins,681217,0,5,L,R
2024-04-01,Phillies,Reds,0.077,0.968,Will Benson,666181,Reds,650911,0,4,L,L
2024-04-01,Phillies,Reds,0.118,0.923,Elly De La Cruz,682829,Reds,650911,0,5,R,L
2024-04-01,Phillies,Reds,0.077,0.968,Stuart Fairchild,656413,Reds,650911,0,4,R,L
2024-04-01,Phillies,Reds,0.103,0.941,Jonathan India,663697,Reds,650911,0,5,R,L
2024-04-01,Phillies,Reds,0.1,0.941,Luke Maile,571912,Reds,650911,0,4,R,L
2024-04-01,Phillies,Reds,0.114,0.923,Jeimer Candelario,600869,Reds,650911,0,5,R,L
2024-04-01,Phillies,Reds,0.105,0.941,Whit Merrifield,593160,Phillies,671096,0,5,R,L
2024-04-01,Phillies,Reds,0.087,0.962,Brandon Marsh,669016,Phillies,671096,0,4,L,L
2024-04-01,Phillies,Reds,0.217,0.833,Trea Turner,607208,Phillies,671096,0,5,R,L
2024-04-01,Phillies,Reds,0.138,0.909,Christian Encarnacion-Strand,687952,Reds,650911,0,5,R,L
2024-04-01,Phillies,Reds,0.125,0.917,Spencer Steer,668715,Reds,650911,1,5,R,L
2024-04-01,Phillies,Reds,0.148,0.889,Alec Bohm,664761,Phillies,671096,0,4,R,L
2024-04-01,Phillies,Reds,0.167,0.875,Nick Castellanos,592206,Phillies,671096,0,4,R,L
2024-04-01,Phillies,Reds,0.16,0.882,Bryce Harper,547180,Phillies,671096,0,5,L,L
2024-04-01,Phillies,Reds,0.182,0.867,J.T. Realmuto,592663,Phillies,671096,0,5,R,L
2024-04-01,Phillies,Reds,0.2,0.846,Kyle Schwarber,656941,Phillies,671096,0,4,L,L
2024-04-01,Phillies,Reds,0.074,0.968,Bryson Stott,681082,Phillies,671096,0,4,L,L
2024-04-01,Phillies,Reds,0.069,0.98,Santiago Espinal,669289,Reds,650911,0,5,R,L
2024-04-01,Mets,Tigers,0.111,0.933,Carson Kelly,608348,Tigers,640455,1,4,R,L
2024-04-01,Mets,Tigers,0.174,0.875,DJ Stewart,621466,Mets,681857,0,4,L,R
2024-04-01,Mets,Tigers,0.125,0.917,Javier Baez,595879,Tigers,640455,0,4,R,L
2024-04-01,Mets,Tigers,0.121,0.923,Riley Greene,682985,Tigers,640455,0,4,L,L
2024-04-01,Mets,Tigers,0.148,0.9,Jake Rogers,668670,Tigers,640455,0,3,R,L
2024-04-01,Mets,Tigers,0.2,0.846,Spencer Torkelson,679529,Tigers,640455,0,4,R,L
2024-04-01,Mets,Tigers,0.074,0.968,Joey Wendle,621563,Mets,681857,0,4,L,R
2024-04-01,Mets,Tigers,0.19,0.867,Pete Alonso,624413,Mets,681857,0,4,R,R
2024-04-01,Mets,Tigers,0.16,0.882,Francisco Alvarez,682626,Mets,681857,0,4,R,R
2024-04-01,Mets,Tigers,0.111,0.933,Brett Baty,683146,Mets,681857,0,4,L,R
2024-04-01,Mets,Tigers,0.114,0.933,Mark Canha,592192,Tigers,640455,0,4,R,L
2024-04-01,Mets,Tigers,0.2,0.846,Francisco Lindor,596019,Mets,681857,0,5,L,R
2024-04-01,Mets,Tigers,0.108,0.933,Starling Marte,516782,Mets,681857,0,4,R,R
2024-04-01,Mets,Tigers,0.16,0.882,Brandon Nimmo,607043,Mets,681857,0,5,L,R
2024-04-01,Mets,Tigers,0.1,0.941,Gio Urshela,570482,Tigers,640455,0,4,R,L
2024-04-01,Mets,Tigers,0.108,0.933,Matt Vierling,663837,Tigers,640455,0,3,R,L
2024-04-01,Mets,Tigers,0.1,0.952,Harrison Bader,664056,Mets,681857,0,3,R,R
2024-04-01,Mets,Tigers,0.129,0.917,Andy Ibanez,628451,Tigers,640455,0,3,R,L
2024-04-01,Dodgers,Giants,0.087,0.962,Nick Ahmed,605113,Giants,572020,0,3,R,L
2024-04-01,Dodgers,Giants,0.133,0.909,Will Smith,669257,Dodgers,676775,0,4,R,R
2024-04-01,Dodgers,Giants,0.167,0.875,Mookie Betts,605141,Dodgers,676775,0,4,R,R
2024-04-01,Dodgers,Giants,0.154,0.889,Freddie Freeman,518692,Dodgers,676775,0,4,L,R
2024-04-01,Dodgers,Giants,0.263,0.778,Shohei Ohtani,660271,Dodgers,676775,0,4,L,R
2024-04-01,Dodgers,Giants,0.095,0.952,Gavin Lux,666158,Dodgers,676775,0,3,L,R
2024-04-01,Dodgers,Giants,0.217,0.833,Max Muncy,571970,Dodgers,676775,0,4,L,R
2024-04-01,Dodgers,Giants,0.138,0.909,James Outman,681546,Dodgers,676775,0,4,L,R
2024-04-01,Dodgers,Giants,0.231,0.818,Jorge Soler,624585,Giants,572020,0,5,R,L
2024-04-01,Dodgers,Giants,0.118,0.923,Chris Taylor,621035,Dodgers,676775,0,4,R,R
2024-04-01,Dodgers,Giants,0.095,0.952,Thairo Estrada,642731,Giants,572020,0,4,R,L
2024-04-01,Dodgers,Giants,0.129,0.917,Wilmer Flores,527038,Giants,572020,0,4,R,L
2024-04-01,Dodgers,Giants,0.148,0.9,Tom Murphy,608596,Giants,572020,0,4,R,L
2024-04-01,Dodgers,Giants,0.1,0.941,Austin Slater,596103,Giants,572020,0,3,R,L
2024-04-01,Dodgers,Giants,0.211,0.846,Matt Chapman,656305,Giants,572020,0,5,R,L
2024-04-01,Dodgers,Giants,0.167,0.875,Teoscar Hernandez,606192,Dodgers,676775,1,4,R,R
2024-04-01,Dodgers,Giants,0.105,0.941,Michael Conforto,624424,Giants,572020,1,4,L,L
2024-04-01,Rays,Rangers,0.087,0.962,Amed Rosario,642708,Rays,641540,0,4,R,R
2024-04-01,Rays,Rangers,0.143,0.9,Jose Siri,642350,Rays,641540,1,4,R,R
2024-04-01,Rays,Rangers,0.133,0.909,Jared Walsh,665120,Rangers,686752,0,5,L,R
2024-04-01,Rays,Rangers,0.061,0.98,Travis Jankowski,608671,Rangers,686752,0,4,L,R
2024-04-01,Rays,Rangers,0.154,0.889,Randy Arozarena,668227,Rays,641540,0,4,R,R
2024-04-01,Rays,Rangers,0.133,0.917,Yandy Diaz,650490,Rays,641540,0,5,R,R
2024-04-01,Rays,Rangers,0.174,0.867,Brandon Lowe,664040,Rays,641540,0,4,L,R
2024-04-01,Rays,Rangers,0.095,0.952,Curtis Mead,678554,Rays,641540,0,4,R,R
2024-04-01,Rays,Rangers,0.114,0.933,Rene Pinto,650907,Rays,641540,0,4,R,R
2024-04-01,Rays,Rangers,0.129,0.917,Evan Carter,694497,Rangers,686752,0,5,L,R
2024-04-01,Rays,Rangers,0.278,0.778,Adolis Garcia,666969,Rangers,686752,1,5,R,R
2024-04-01,Rays,Rangers,0.16,0.882,Jonah Heim,641680,Rangers,686752,0,4,L,R
2024-04-01,Rays,Rangers,0.256,0.778,Corey Seager,608369,Rangers,686752,0,5,L,R
2024-04-01,Rays,Rangers,0.174,0.875,Marcus Semien,543760,Rangers,686752,0,5,R,R
2024-04-01,Rays,Rangers,0.148,0.9,Wyatt Langford,694671,Rangers,686752,0,5,R,R
2024-04-01,Padres,Cardinals,0.095,0.952,Xander Bogaerts,593428,Padres,502043,0,4,R,R
2024-04-01,Padres,Cardinals,0.154,0.889,Willson Contreras,575929,Cardinals,663362,1,5,R,R
2024-04-01,Padres,Cardinals,0.182,0.867,Matt Carpenter,572761,Cardinals,663362,0,5,L,R
2024-04-01,Padres,Cardinals,0.091,0.952,Luis Campusano,669134,Padres,502043,0,3,R,R
2024-04-01,Padres,Cardinals,0.105,0.941,Jake Cronenworth,630105,Padres,502043,0,4,L,R
2024-04-01,Padres,Cardinals,0.077,0.968,Ha-Seong Kim,673490,Padres,502043,0,4,R,R
2024-04-01,Padres,Cardinals,0.16,0.882,Manny Machado,592518,Padres,502043,0,4,R,R
2024-04-01,Padres,Cardinals,0.095,0.952,Jackson Merrill,701538,Padres,502043,1,3,L,R
2024-04-01,Padres,Cardinals,0.095,0.952,Jurickson Profar,595777,Padres,502043,0,3,L,R
2024-04-01,Padres,Cardinals,0.182,0.867,Fernando Tatis,665487,Padres,502043,1,4,R,R
2024-04-01,Padres,Cardinals,0.174,0.867,Nolan Arenado,571448,Cardinals,663362,0,5,R,R
2024-04-01,Padres,Cardinals,0.129,0.917,Brendan Donovan,680977,Cardinals,663362,1,5,L,R
2024-04-01,Padres,Cardinals,0.16,0.882,Paul Goldschmidt,502671,Cardinals,663362,0,5,R,R
2024-04-01,Padres,Cardinals,0.244,0.8,Nolan Gorman,669357,Cardinals,663362,0,5,L,R
2024-04-01,Padres,Cardinals,0.125,0.917,Jordan Walker,691023,Cardinals,663362,0,5,R,R
2024-04-01,Padres,Cardinals,0.077,0.968,Masyn Winn,691026,Cardinals,663362,0,5,R,R
2024-04-01,Padres,Cardinals,0.1,0.952,Graham Pauley,688363,Padres,502043,0,2,L,R
2024-04-01,Padres,Cardinals,0.1,0.952,Victor Scott II,687363,Cardinals,663362,0,5,L,R
2024-04-01,Nationals,Pirates,0.108,0.941,Eddie Rosario,592696,Nationals,594835,0,4,L,L
2024-04-01,Nationals,Pirates,0.118,0.923,Ildemaro Vargas,545121,Nationals,594835,0,4,R,L
2024-04-01,Nationals,Pirates,0.138,0.909,Connor Joe,656582,Pirates,669022,0,5,R,L
2024-04-01,Nationals,Pirates,0.138,0.909,Edward Olivares,658668,Pirates,669022,0,4,R,L
2024-04-01,Nationals,Pirates,0.167,0.875,Andrew McCutchen,457705,Pirates,669022,0,6,R,L
2024-04-01,Nationals,Pirates,0.133,0.909,Oneil Cruz,665833,Pirates,669022,0,5,L,L
2024-04-01,Nationals,Pirates,0.148,0.889,Henry Davis,680779,Pirates,669022,0,5,R,L
2024-04-01,Nationals,Pirates,0.148,0.9,Ke'Bryan Hayes,663647,Pirates,669022,0,6,R,L
2024-04-01,Nationals,Pirates,0.16,0.882,Bryan Reynolds,668804,Pirates,669022,0,6,R,L
2024-04-01,Nationals,Pirates,0.087,0.962,Alika Williams,675961,Pirates,669022,0,5,R,L
2024-04-01,Nationals,Pirates,0.143,0.9,Riley Adams,656180,Nationals,594835,1,4,R,L
2024-04-01,Nationals,Pirates,0.174,0.867,Joey Meneses,608841,Nationals,594835,0,4,R,L
2024-04-01,Nationals,Pirates,0.087,0.962,Victor Robles,645302,Nationals,594835,0,4,R,L
2024-04-01,Nationals,Pirates,0.114,0.933,Keibert Ruiz,660688,Nationals,594835,0,4,R,L
2024-04-01,Nationals,Pirates,0.174,0.867,Lane Thomas,657041,Nationals,594835,0,5,R,L
2024-04-02,Orioles,Royals,0.087,0.962,Colton Cowser,681297,Orioles,679525,0,3,L,R
2024-04-02,Orioles,Royals,0.154,0.889,Gunnar Henderson,683002,Orioles,679525,0,4,L,R
2024-04-02,Orioles,Royals,0.114,0.933,Cedric Mullins,656775,Orioles,679525,0,3,L,R
2024-04-02,Orioles,Royals,0.125,0.923,Adley Rutschman,668939,Orioles,679525,0,4,L,R
2024-04-02,Orioles,Royals,0.19,0.857,Anthony Santander,623993,Orioles,679525,0,4,L,R
2024-04-02,Orioles,Royals,0.138,0.909,Nelson Velazquez,676369,Royals,608344,0,4,R,L
2024-04-02,Orioles,Royals,0.059,0.99,Garrett Hampson,641658,Royals,608344,0,4,R,L
2024-04-02,Orioles,Royals,0.083,0.962,Maikel Garcia,672580,Royals,608344,0,5,R,L
2024-04-02,Orioles,Royals,0.087,0.962,Nick Loftin,679845,Royals,608344,0,3,R,L
2024-04-02,Orioles,Royals,0.111,0.933,Ryan O'Hearn,656811,Orioles,679525,0,3,L,R
2024-04-02,Orioles,Royals,0.095,0.952,Vinnie Pasquantino,686469,Royals,608344,0,5,L,L
2024-04-02,Orioles,Royals,0.154,0.889,Salvador Perez,521692,Royals,608344,0,4,R,L
2024-04-02,Orioles,Royals,0.121,0.923,Bobby Witt,677951,Royals,608344,0,5,R,L
2024-04-02,Orioles,Royals,0.125,0.917,Hunter Renfroe,592669,Royals,608344,0,4,R,L
2024-04-02,Orioles,Royals,0.054,0.99,Tony Kemp,643393,Orioles,679525,0,3,L,R
2024-04-02,White Sox,Braves,0.256,0.789,Ronald Acuna,660670,Braves,676979,0,4,R,L
2024-04-02,White Sox,Braves,0.231,0.818,Ozzie Albies,645277,Braves,676979,0,4,L,L
2024-04-02,White Sox,Braves,0.167,0.875,Orlando Arcia,606115,Braves,676979,0,4,R,L
2024-04-02,White Sox,Braves,0.278,0.778,Adam Duvall,594807,Braves,676979,0,4,R,L
2024-04-02,White Sox,Braves,0.138,0.909,Dominic Fletcher,666150,White Sox,625643,0,2,L,R
2024-04-02,White Sox,Braves,0.167,0.882,Michael Harris II,671739,Braves,676979,0,4,L,L
2024-04-02,White Sox,Braves,0.263,0.778,Matt Olson,621566,Braves,676979,0,4,L,L
2024-04-02,White Sox,Braves,0.278,0.778,Marcell Ozuna,542303,Braves,676979,1,4,R,L
2024-04-02,White Sox,Braves,0.278,0.778,Austin Riley,663586,Braves,676979,0,4,R,L
2024-04-02,White Sox,Braves,0.148,0.9,Chadwick Tromp,644433,Braves,676979,0,2,R,L
2024-04-02,White Sox,Braves,0.167,0.875,Yoan Moncada,660162,White Sox,625643,0,4,L,R
