"last_name, first_name","player_id","year","pa"
"Quantrill, Cal",615698,2025,513
"Senzatela, Antonio",622608,2025,618
"Severino, Luis",622663,2025,705
"Suárez, Ranger",624133,2025,651
"Ober, Bailey",641927,2025,624
"Alcantara, Sandy",645261,2025,745
"Civale, Aaron",650644,2025,435
"Sánchez, Cristopher",650911,2025,807
"Cease, Dylan",656302,2025,722
"Rasmussen, Drew",656876,2025,585
"Webb, Logan",657277,2025,856
"Martin, Davis",663436,2025,601
"Bubic, Kris",663460,2025,476
"Kolek, Stephen",663568,2025,461
"Valdez, Framber",664285,2025,802
"Kremer, Dean",665152,2025,708
"Cabrera, Edward",665795,2025,581
"Williams, Gavin",668909,2025,704
"Nelson, Ryne",669194,2025,619
"Gilbert, Logan",669302,2025,535
"Skubal, Tarik",669373,2025,748
"Rogers, Trevor",669432,2025,423
"Kirby, George",669923,2025,524
"Senga, Kodai",673540,2025,482
"Strider, Spencer",675911,2025,539
"Bibee, Tanner",676440,2025,762
"Brown, Ben",676962,2025,472
"Crochet, Garrett",676979,2025,814
"Bello, Brayan",678394,2025,700
"Woods Richardson, Simeon",680573,2025,471
"Parker, Mitchell",680730,2025,725
"Burke, Sean",680732,2025,596
"Schwellenbach, Spencer",680885,2025,434
"Vásquez, Randy",681190,2025,570
"Priester, Quinn",682990,2025,653
"Leiter, Jack",683004,2025,646
"Brown, Hunter",686613,2025,729
"Kochanowicz, Jack",686799,2025,512
"Gusto, Ryan",687473,2025,453
"Woo, Bryan",693433,2025,731
"Elder, Bryce",693821,2025,679
"Pfaadt, Brandon",694297,2025,767
"Patrick, Chad",694477,2025,503
"Roupp, Landen",694738,2025,476
"Lord, Brad",695418,2025,546
"Povich, Cade",700249,2025,488
"Warren, Will",701542,2025,711
